Method, Filter, Result
IQR, gSDSS, 0.2045
IQR, J0515, 0
IQR, rSDSS, 0.07050000000000001
IQR, J0660, 0.29600000000000004
IQR, iSDSS, 0.188
IQR, J0861, 0.236
IQR Weighted, gSDSS, 0.03647999999999999
IQR Weighted, J0515, 0
IQR Weighted, rSDSS, 0.0123305
IQR Weighted, J0660, 0.073547
IQR Weighted, iSDSS, 0.048704000000000004
IQR Weighted, J0861, 0.052329999999999995
ETA, gSDSS, 0.5513292019940308
ETA, J0515, 0
ETA, rSDSS, 0.4073526434799665
ETA, J0660, 0.4673240404789808
ETA, iSDSS, 0.29631362973297426
ETA, J0861, 0.5384253613340949
ETA Weighted, gSDSS, 0.5899731109403934
ETA Weighted, J0515, 0
ETA Weighted, rSDSS, 0.3981399922906501
ETA Weighted, J0660, 0.7723741030961706
ETA Weighted, iSDSS, 0.31497606903298003
ETA Weighted, J0861, 0.5484334806180235

