Method, Filter, Result
IQR, J0395, 0.020499999999999997
IQR, gSDSS, 0.012
IQR, J0515, 0.013
IQR, rSDSS, 0.022
IQR, J0660, 0.024
IQR, iSDSS, 0.015
IQR, J0861, 0.013499999999999998
IQR Weighted, J0395, 24.16917222215494
IQR Weighted, gSDSS, 456.94444444444446
IQR Weighted, J0515, 97.47171844709725
IQR Weighted, rSDSS, 1226.25
IQR Weighted, J0660, 615.5555555555555
IQR Weighted, iSDSS, 603.156887755102
IQR Weighted, J0861, 460.0
ETA, J0395, 5.591580156671782e-07
ETA, gSDSS, 5.272464945873562e-08
ETA, J0515, 1.2738522680305169e-07
ETA, rSDSS, 3.710453150734554e-08
ETA, J0660, 5.2981857188043156e-08
ETA, iSDSS, 4.333259758561418e-08
ETA, J0861, 4.79246538078528e-08
ETA Weighted, J0395, 8.100583753212585e-07
ETA Weighted, gSDSS, 2.95361532732937e-07
ETA Weighted, J0515, 4.474572664082359e-07
ETA Weighted, rSDSS, 6.14369909756848e-07
ETA Weighted, J0660, 2.002103505171709e-07
ETA Weighted, iSDSS, 2.760331676187029e-07
ETA Weighted, J0861, 2.471566457244825e-07

