Method, Filter, Result
IQR, J0395, 0.017
IQR, gSDSS, 0.004
IQR, J0515, 0.011
IQR, rSDSS, 0.006500000000000001
IQR, J0660, 0.006500000000000001
IQR, iSDSS, 0.0075
IQR, J0861, 0.004
IQR Weighted, J0395, 0.0003095
IQR Weighted, gSDSS, 1.6e-05
IQR Weighted, J0515, 9.099999999999999e-05
IQR Weighted, rSDSS, 2.8000000000000003e-05
IQR Weighted, J0660, 3.4e-05
IQR Weighted, iSDSS, 3.85e-05
IQR Weighted, J0861, 1.8500000000000002e-05
ETA, J0395, 0.9366424049654594
ETA, gSDSS, 3.034262749685862
ETA, J0515, 0.5570775758774563
ETA, rSDSS, 1.848965886333817
ETA, J0660, 1.0413581978493205
ETA, iSDSS, 2.665243601146358
ETA, J0861, 2.2695858764848724
ETA Weighted, J0395, 0.9551267573761055
ETA Weighted, gSDSS, 3.14695029115715
ETA Weighted, J0515, 0.5768812999717957
ETA Weighted, rSDSS, 2.854471649681438
ETA Weighted, J0660, 1.1562684469584676
ETA Weighted, iSDSS, 2.822973310052046
ETA Weighted, J0861, 2.2187922915825946

