Method, Filter, Result
IQR, J0395, 0.21250000000000002
IQR, gSDSS, 0.08499999999999999
IQR, J0515, 0.089
IQR, rSDSS, 0.0215
IQR, J0660, 0.0335
IQR, iSDSS, 0.031
IQR, J0861, 0.015
IQR Weighted, J0395, 7.870459411140022
IQR Weighted, gSDSS, 26.59722222222222
IQR Weighted, J0515, 17.88684464624251
IQR Weighted, rSDSS, 39.58156126793844
IQR Weighted, J0660, 11.741953746688047
IQR Weighted, iSDSS, 12.50251669504664
IQR Weighted, J0861, 9.548760467044387
ETA, J0395, 0.7769320237683507
ETA, gSDSS, 0.9398425700636988
ETA, J0515, 0.6754814918721691
ETA, rSDSS, 2.370681138280187
ETA, J0660, 1.0127784203572405
ETA, iSDSS, 1.1293794794492762
ETA, J0861, 0.9190499686900943
ETA Weighted, J0395, 0.8939679796877368
ETA Weighted, gSDSS, 1.0320548298148369
ETA Weighted, J0515, 0.7281513163806635
ETA Weighted, rSDSS, 2.738880730351128
ETA Weighted, J0660, 0.951878535860201
ETA Weighted, iSDSS, 1.0445733888874884
ETA Weighted, J0861, 1.164639753447186
Sigma Weighted, J0395, 0.3002455823315069
Sigma Weighted, gSDSS, 0.11415222687971832
Sigma Weighted, J0515, 0.15080452726200375
Sigma Weighted, rSDSS, 0.0669526179088019
Sigma Weighted, J0660, 0.08510762321509992
Sigma Weighted, iSDSS, 0.0636637619946719
Sigma Weighted, J0861, 0.051663702033363436
MAD, J0395, 0.20934693877551022
MAD, gSDSS, 0.1185688775510204
MAD, J0515, 0.12934615384615383
MAD, rSDSS, 0.08712591050988555
MAD, J0660, 0.11489281997918833
MAD, iSDSS, 0.06702551020408164
MAD, J0861, 0.06157193816884661
Variance NXS, J0395, 3072.911458333328
Variance NXS, gSDSS, 9.381079992557517
Variance NXS, J0515, 52.665893308143204
Variance NXS, rSDSS, 5.196403452573706
Variance NXS, J0660, 4.883751679656006
Variance NXS, iSDSS, 12.376664016885503
Variance NXS, J0861, 5.66514112709231
Peak to Peak, J0395, 70.14285714285735
Peak to Peak, gSDSS, 1.3464912280701753
Peak to Peak, J0515, 10.01960784313726
Peak to Peak, rSDSS, 1.1666666666666667
Peak to Peak, J0660, 1.217877094972067
Peak to Peak, iSDSS, 0.9846449136276392
Peak to Peak, J0861, 1.2153846153846153
Lag-1 Autocorrelation, J0395, 2.548672275505984e+30
Lag-1 Autocorrelation, gSDSS, 6.662570386410443e+31
Lag-1 Autocorrelation, J0515, 1.6625900325844186e+32
Lag-1 Autocorrelation, rSDSS, 1.1345272373775483e+33
Lag-1 Autocorrelation, J0660, 3.1201782727840007e+31
Lag-1 Autocorrelation, iSDSS, 3.134819319650844e+31
Lag-1 Autocorrelation, J0861, 4.997840236453469e+30

