Method, Filter, Result
IQR, J0395, 0.096
IQR, gSDSS, 0.026500000000000003
IQR, J0515, 0.03
IQR, rSDSS, 0.0195
IQR, J0660, 0.025
IQR, iSDSS, 0.027000000000000003
IQR, J0861, 0.018000000000000002
IQR Weighted, J0395, 5.026990340642878
IQR Weighted, gSDSS, 52.73542666725386
IQR Weighted, J0515, 17.558895476152323
IQR Weighted, rSDSS, 80.28882141091731
IQR Weighted, J0660, 82.21975308641976
IQR Weighted, iSDSS, 90.74506994414304
IQR Weighted, J0861, 71.93598759358909
ETA, J0395, 0.607723584295786
ETA, gSDSS, 1.369756970753975
ETA, J0515, 0.8879154682175535
ETA, rSDSS, 1.3608481971743225
ETA, J0660, 1.0168967228256705
ETA, iSDSS, 1.0804464480153668
ETA, J0861, 1.260312410401441
ETA Weighted, J0395, 0.7625237878287792
ETA Weighted, gSDSS, 5.851016573455572
ETA Weighted, J0515, 1.2190240515367678
ETA Weighted, rSDSS, 7.072060167356592
ETA Weighted, J0660, 2.2344437171211755
ETA Weighted, iSDSS, 3.3687472857505023
ETA Weighted, J0861, 3.2710258980338742

