Method, Filter, Result
IQR, J0395, 0.136
IQR, gSDSS, 0.0595
IQR, J0515, 0.06
IQR, rSDSS, 0.07400000000000001
IQR, J0660, 0.09
IQR, iSDSS, 0.056499999999999995
IQR, J0861, 0.06999999999999999
IQR Weighted, J0395, 9.053730949147429
IQR Weighted, gSDSS, 231.60699708217192
IQR Weighted, J0515, 28.085685551599035
IQR Weighted, rSDSS, 648.3467222211812
IQR Weighted, J0660, 153.51239669421489
IQR Weighted, iSDSS, 380.1804836100817
IQR Weighted, J0861, 370.7436700170264
ETA, J0395, 0.7244214075994037
ETA, gSDSS, 1.4833694156521533
ETA, J0515, 1.2189188198256091
ETA, rSDSS, 1.3664333964037862
ETA, J0660, 1.5815366170329024
ETA, iSDSS, 1.70855117105674
ETA, J0861, 1.3184262732502035
ETA Weighted, J0395, 0.7963678535009034
ETA Weighted, gSDSS, 3.2862392438925703
ETA Weighted, J0515, 1.7856934897426153
ETA Weighted, rSDSS, 3.9002776115574402
ETA Weighted, J0660, 2.7665259718627264
ETA Weighted, iSDSS, 4.703975300409633
ETA Weighted, J0861, 3.6758069699715286
Sigma Weighted, J0395, 0.17580469669089815
Sigma Weighted, gSDSS, 0.08494185923484976
Sigma Weighted, J0515, 0.09160144768685716
Sigma Weighted, rSDSS, 0.08339931745075645
Sigma Weighted, J0660, 0.08980484254728915
Sigma Weighted, iSDSS, 0.08240946884206135
Sigma Weighted, J0861, 0.08588450370838153
MAD, J0395, 0.1897728
MAD, gSDSS, 0.11119499999999999
MAD, J0515, 0.11119499999999999
MAD, rSDSS, 0.11712539999999999
MAD, J0660, 0.11416019999999999
MAD, iSDSS, 0.0904386
MAD, J0861, 0.0904386
Variance NXS, J0395, 19.051863956320812
Variance NXS, gSDSS, 390.5944037542211
Variance NXS, J0515, 1655.655865141061
Variance NXS, rSDSS, 3326.0242214532773
Variance NXS, J0660, 43.66341338336716
Variance NXS, iSDSS, 20.399012003693446
Variance NXS, J0861, 23.492083464401805
Peak to Peak, J0395, 3.759124087591241
Peak to Peak, gSDSS, 6.500000000000001
Peak to Peak, J0515, 32.99999999999997
Peak to Peak, rSDSS, -49.99999999999973
Peak to Peak, J0660, 4.9344262295081975
Peak to Peak, iSDSS, 3.811594202898552
Peak to Peak, J0861, 3.5205479452054806
Lag-1 Autocorrelation, J0395, 0.1462667054647694
Lag-1 Autocorrelation, gSDSS, 0.49771204416840203
Lag-1 Autocorrelation, J0515, 0.5592166041252035
Lag-1 Autocorrelation, rSDSS, nan
Lag-1 Autocorrelation, J0660, 0.7092569530495215
Lag-1 Autocorrelation, iSDSS, 0.6417828440538466
Lag-1 Autocorrelation, J0861, 0.5344733514627682

