Method, Filter, Result
IQR, J0395, 0.2035
IQR, gSDSS, 0.112
IQR, J0515, 0.1785
IQR, rSDSS, 0.0745
IQR, J0660, 0.1185
IQR, iSDSS, 0.06
IQR, J0861, 0.07100000000000001
IQR Weighted, J0395, 15.111026100550873
IQR Weighted, gSDSS, 287.60836135924956
IQR Weighted, J0515, 87.9600381144873
IQR Weighted, rSDSS, 271.3844197760282
IQR Weighted, J0660, 174.95956425118206
IQR Weighted, iSDSS, 262.6494384736143
IQR Weighted, J0861, 181.3271604938272
ETA, J0395, 0.6555327242506988
ETA, gSDSS, 1.354300991213506
ETA, J0515, 1.1564388271409862
ETA, rSDSS, 1.003959952152702
ETA, J0660, 0.988456584719125
ETA, iSDSS, 1.4890878940593617
ETA, J0861, 1.3347652045648728
ETA Weighted, J0395, 3.5520066650824886
ETA Weighted, gSDSS, 34.299031650668745
ETA Weighted, J0515, 6.695902861747944
ETA Weighted, rSDSS, 7.662974631795929
ETA Weighted, J0660, 6.930006222912918
ETA Weighted, iSDSS, 33.64701689959136
ETA Weighted, J0861, 8.412955598967557
Sigma Weighted, J0395, 0.2896934273473193
Sigma Weighted, gSDSS, 0.202063636358957
Sigma Weighted, J0515, 0.21902233773386476
Sigma Weighted, rSDSS, 0.15833858287097885
Sigma Weighted, J0660, 0.14483250009928736
Sigma Weighted, iSDSS, 0.123758424123804
Sigma Weighted, J0861, 0.1120430970052376
MAD, J0395, 0.142
MAD, gSDSS, 0.164
MAD, J0515, 0.1295
MAD, rSDSS, 0.128
MAD, J0660, 0.098
MAD, iSDSS, 0.0675
MAD, J0861, 0.06
Variance NXS, J0395, 6.10673158113762
Variance NXS, gSDSS, 321.4611269332699
Variance NXS, J0515, 22.273975250058093
Variance NXS, rSDSS, 103.38998201414526
Variance NXS, J0660, 17.272316013313606
Variance NXS, iSDSS, 9.80648079409639
Variance NXS, J0861, 15.084457142857156
Peak to Peak, J0395, -1.427145708582834
Peak to Peak, gSDSS, -7.9647058823529395
Peak to Peak, J0515, -2.417322834645669
Peak to Peak, rSDSS, -49.799999999999955
Peak to Peak, J0660, 5.9210526315789505
Peak to Peak, iSDSS, 4.466666666666667
Peak to Peak, J0861, 4.917808219178084
Lag-1 Autocorrelation, J0395, 8.01754056438437e+31
Lag-1 Autocorrelation, gSDSS, 1.229894039977266e+31
Lag-1 Autocorrelation, J0515, 6.50887525116757e+30
Lag-1 Autocorrelation, rSDSS, 4.217325634153671e+32
Lag-1 Autocorrelation, J0660, 7.670653877179498e+30
Lag-1 Autocorrelation, iSDSS, 2.0228440843612753e+32
Lag-1 Autocorrelation, J0861, 3.1565716890259135e+30

