Method, Filter, Result
IQR, J0395, 0.157
IQR, gSDSS, 0.0115
IQR, J0515, 0.022
IQR, rSDSS, 0.0055
IQR, J0660, 0.0125
IQR, iSDSS, 0.0055
IQR, J0861, 0.006
IQR Weighted, J0395, 11.835527804185633
IQR Weighted, gSDSS, 29.47222222222222
IQR Weighted, J0515, 21.512345679012345
IQR Weighted, rSDSS, 65.25037792894936
IQR Weighted, J0660, 42.04052824247344
IQR Weighted, iSDSS, 41.06929510155317
IQR Weighted, J0861, 61.28117913832199
ETA, J0395, 1.1275916912779303e-05
ETA, gSDSS, 1.0616328221683575e-06
ETA, J0515, 6.930358705099828e-07
ETA, rSDSS, 1.3592903336895483e-07
ETA, J0660, 1.1714307403710729e-07
ETA, iSDSS, 6.117049333418716e-07
ETA, J0861, 4.142966620851108e-07
ETA Weighted, J0395, 1.545053472978849e-05
ETA Weighted, gSDSS, 1.2612046276963503e-06
ETA Weighted, J0515, 1.2429663312342816e-06
ETA Weighted, rSDSS, 2.3273667294818727e-07
ETA Weighted, J0660, 1.4099086208961235e-07
ETA Weighted, iSDSS, 6.913275989295365e-07
ETA Weighted, J0861, 5.39413034477783e-07

