Method, Filter, Result
IQR, J0395, 0.1375
IQR, gSDSS, 0.083
IQR, J0515, 0.089
IQR, rSDSS, 0.08850000000000001
IQR, J0660, 0.0795
IQR, iSDSS, 0.091
IQR, J0861, 0.081
IQR Weighted, J0395, 13.299076405061266
IQR Weighted, gSDSS, 140.1990520447821
IQR Weighted, J0515, 46.71903384001563
IQR Weighted, rSDSS, 620.4470742932282
IQR Weighted, J0660, 100.11966765873015
IQR Weighted, iSDSS, 277.6579539706443
IQR Weighted, J0861, 291.1097222222222
ETA, J0395, 0.8387160739826651
ETA, gSDSS, 0.8319934196083177
ETA, J0515, 2.483496973117086
ETA, rSDSS, 1.0732932531381107
ETA, J0660, 2.1178165367893267
ETA, iSDSS, 0.6762142007475448
ETA, J0861, 0.7208055526545591
ETA Weighted, J0395, 1.096507644133518
ETA Weighted, gSDSS, 1.8144483983988697
ETA Weighted, J0515, 3.2902501153397763
ETA Weighted, rSDSS, 3.264780858224763
ETA Weighted, J0660, 3.3015753998896793
ETA Weighted, iSDSS, 1.2700966466133063
ETA Weighted, J0861, 1.8153481415614614
Sigma Weighted, J0395, 0.20547635131179895
Sigma Weighted, gSDSS, 0.10718174599745611
Sigma Weighted, J0515, 0.1262468988210332
Sigma Weighted, rSDSS, 0.08320296329748766
Sigma Weighted, J0660, 0.10676268078551018
Sigma Weighted, iSDSS, 0.0878376870989582
Sigma Weighted, J0861, 0.09806084491859264
MAD, J0395, 0.22238999999999998
MAD, gSDSS, 0.1326927
MAD, J0515, 0.15122519999999998
MAD, rSDSS, 0.1000755
MAD, J0660, 0.103782
MAD, iSDSS, 0.11119499999999999
MAD, J0861, 0.11416019999999999
Variance NXS, J0395, 1233.7726909768423
Variance NXS, gSDSS, 9.270185889820537
Variance NXS, J0515, 14.911031337461667
Variance NXS, rSDSS, 19.260267497636637
Variance NXS, J0660, 9.025114599514076
Variance NXS, iSDSS, 4232.197278911556
Variance NXS, J0861, 259.04054350208173
Peak to Peak, J0395, 3.6999999999999997
Peak to Peak, gSDSS, 2.208333333333333
Peak to Peak, J0515, 2.810126582278481
Peak to Peak, rSDSS, 1.941704035874439
Peak to Peak, J0660, 1.3466666666666665
Peak to Peak, iSDSS, -12.279999999999989
Peak to Peak, J0861, 3.4999999999999996
Lag-1 Autocorrelation, J0395, 0.4246132700699005
Lag-1 Autocorrelation, gSDSS, 0.4087658029585602
Lag-1 Autocorrelation, J0515, 0.5817784913185484
Lag-1 Autocorrelation, rSDSS, 0.5231849599370124
Lag-1 Autocorrelation, J0660, 0.6361846382606866
Lag-1 Autocorrelation, iSDSS, 0.45436037330307255
Lag-1 Autocorrelation, J0861, 0.35645693299933123

