Method, Filter, Result
IQR, J0395, 0.039
IQR, gSDSS, 0.006500000000000001
IQR, J0515, 0.023
IQR, rSDSS, 0.0035
IQR, J0660, 0.0115
IQR, iSDSS, 0.006
IQR, J0861, 0.007000000000000001
IQR Weighted, J0395, 10.601881113895903
IQR Weighted, gSDSS, 37.27642693478335
IQR Weighted, J0515, 24.08163265306122
IQR Weighted, rSDSS, 43.72260015117158
IQR Weighted, J0660, 42.838106359130585
IQR Weighted, iSDSS, 41.40791318238871
IQR Weighted, J0861, 42.37179962894248
ETA, J0395, 0.9389905245180601
ETA, gSDSS, 0.5344985290432549
ETA, J0515, 0.6508093580307542
ETA, rSDSS, 0.4864147602484832
ETA, J0660, 0.46440815561941273
ETA, iSDSS, 0.7599079406125216
ETA, J0861, 0.5279923234581128
ETA Weighted, J0395, 0.9711990831929845
ETA Weighted, gSDSS, 0.8357551193843548
ETA Weighted, J0515, 0.5970945777373261
ETA Weighted, rSDSS, 0.5605343501839751
ETA Weighted, J0660, 0.45313388791934356
ETA Weighted, iSDSS, 0.7705029797690803
ETA Weighted, J0861, 0.5131004612617583

