Method, Filter, Result
IQR, J0395, 0.066
IQR, gSDSS, 0.008
IQR, J0515, 0.020999999999999998
IQR, rSDSS, 0.008
IQR, J0660, 0.007
IQR, iSDSS, 0.013
IQR, J0861, 0.004
IQR Weighted, J0395, 8.26250952949985
IQR Weighted, gSDSS, 37.147235489535916
IQR Weighted, J0515, 36.458414702099184
IQR Weighted, rSDSS, 84.79338842975207
IQR Weighted, J0660, 35.653636858614995
IQR Weighted, iSDSS, 118.82716049382717
IQR Weighted, J0861, 45.100415512465375
ETA, J0395, 0.5114359200325904
ETA, gSDSS, 0.4340355553916445
ETA, J0515, 0.4501853123701368
ETA, rSDSS, 0.45512623566528226
ETA, J0660, 0.4567456381795253
ETA, iSDSS, 0.4084594034536757
ETA, J0861, 0.4416750908469617
ETA Weighted, J0395, 0.5653160301374168
ETA Weighted, gSDSS, 0.425838486187543
ETA Weighted, J0515, 0.5256478923488882
ETA Weighted, rSDSS, 0.45222180976247073
ETA Weighted, J0660, 0.4652442637895109
ETA Weighted, iSDSS, 0.4555113903851741
ETA Weighted, J0861, 0.32135064290669696

