Method, Filter, Result
IQR, gSDSS, 0.079
IQR, J0515, 0.256
IQR, rSDSS, 0.0175
IQR, J0660, 0.053000000000000005
IQR, iSDSS, 0.027000000000000003
IQR, J0861, 0.0335
IQR Weighted, gSDSS, 0.007848
IQR Weighted, J0515, 0.051046
IQR Weighted, rSDSS, 0.0012014999999999999
IQR Weighted, J0660, 0.002916
IQR Weighted, iSDSS, 0.0008755
IQR Weighted, J0861, 0.0010190000000000002
ETA, gSDSS, 0.5738011233780616
ETA, J0515, 0.7662573988249275
ETA, rSDSS, 0.47387899987343696
ETA, J0660, 0.4951965477549205
ETA, iSDSS, 0.43547799558906725
ETA, J0861, 0.34676546255661056
ETA Weighted, gSDSS, 0.727078618477083
ETA Weighted, J0515, 0.5812142186250988
ETA Weighted, rSDSS, 0.5345058625102024
ETA Weighted, J0660, 0.4952495536326774
ETA Weighted, iSDSS, 0.5686797723460756
ETA Weighted, J0861, 0.38652882865374555

