Method, Filter, Result
IQR, J0395, 0
IQR, gSDSS, 0.17
IQR, J0515, 0.2475
IQR, rSDSS, 0.236
IQR, J0660, 0.098
IQR, iSDSS, 0.3085
IQR, J0861, 0.197
IQR Weighted, J0395, 0
IQR Weighted, gSDSS, 3.0746720948585464
IQR Weighted, J0515, 1.5641439369397587
IQR Weighted, rSDSS, 8.24596515547027
IQR Weighted, J0660, 2.019121110508075
IQR Weighted, iSDSS, 7.054723998070271
IQR Weighted, J0861, 3.3517743296153606
ETA, J0395, nan
ETA, gSDSS, 1.5217934459183657
ETA, J0515, 1.0096106947026673
ETA, rSDSS, 0.6946838263587903
ETA, J0660, 0.846681514476007
ETA, iSDSS, 0.8409603895035689
ETA, J0861, 0.5941743777246903
ETA Weighted, J0395, nan
ETA Weighted, gSDSS, 1.401238356335004
ETA Weighted, J0515, 1.0484989587537925
ETA Weighted, rSDSS, 0.7157486280966134
ETA Weighted, J0660, 0.8210627603817922
ETA Weighted, iSDSS, 1.799888099183431
ETA Weighted, J0861, 0.537925388797651

