Method, Filter, Result
IQR, J0395, 0.197
IQR, gSDSS, 0.11750000000000001
IQR, J0515, 0.14600000000000002
IQR, rSDSS, 0.096
IQR, J0660, 0.1675
IQR, iSDSS, 0.058
IQR, J0861, 0.123
IQR Weighted, J0395, 3.442784520110718
IQR Weighted, gSDSS, 11.989989828132453
IQR Weighted, J0515, 4.2414303098628725
IQR Weighted, rSDSS, 17.590599892707086
IQR Weighted, J0660, 7.470201321399708
IQR Weighted, iSDSS, 5.4097756902186935
IQR Weighted, J0861, 8.369496375991417
ETA, J0395, 0.0011524197251480534
ETA, gSDSS, 1.6448863172233663e-05
ETA, J0515, 4.3406857308148115e-05
ETA, rSDSS, 1.1022856401758928e-05
ETA, J0660, 1.5917615357050133e-05
ETA, iSDSS, 1.5344714346333047e-05
ETA, J0861, 1.7497782895855894e-05
ETA Weighted, J0395, 0.002621011290838312
ETA Weighted, gSDSS, 6.602147199250874e-05
ETA Weighted, J0515, 0.00010983791725859156
ETA Weighted, rSDSS, 9.389682447482055e-05
ETA Weighted, J0660, 2.840708601640947e-05
ETA Weighted, iSDSS, 4.498169361510002e-05
ETA Weighted, J0861, 3.3575656478760726e-05

