Method, Filter, Result
IQR, J0395, 0.6779999999999999
IQR, gSDSS, 0.22699999999999998
IQR, J0515, 0.15250000000000002
IQR, rSDSS, 0.254
IQR, J0660, 0.1865
IQR, iSDSS, 0.19899999999999998
IQR, J0861, 0.091
IQR Weighted, J0395, 0.127465
IQR Weighted, gSDSS, 0.03314
IQR Weighted, J0515, 0.0201675
IQR Weighted, rSDSS, 0.021326499999999998
IQR Weighted, J0660, 0.006547000000000001
IQR Weighted, iSDSS, 0.008722
IQR Weighted, J0861, 0.0040349999999999995
ETA, J0395, 1.7080218217289578
ETA, gSDSS, 1.0237074429168536
ETA, J0515, 0.6933513940403595
ETA, rSDSS, 1.0792890594359255
ETA, J0660, 1.2863708414016868
ETA, iSDSS, 0.9276878080972718
ETA, J0861, 0.8885136964713263
ETA Weighted, J0395, 2.042568236063963
ETA Weighted, gSDSS, 0.9016319058505818
ETA Weighted, J0515, 0.7182599408198881
ETA Weighted, rSDSS, 0.9661125344870432
ETA Weighted, J0660, 0.8696506901887768
ETA Weighted, iSDSS, 0.7483772551458394
ETA Weighted, J0861, 0.822297091643975

