Method, Filter, Result
IQR, J0395, 0.0245
IQR, gSDSS, 0.0055
IQR, J0515, 0.022
IQR, rSDSS, 0.007
IQR, J0660, 0.008
IQR, iSDSS, 0.0145
IQR, J0861, 0.02
IQR Weighted, J0395, 5.796195872926571
IQR Weighted, gSDSS, 23.510330057949105
IQR Weighted, J0515, 13.574985508457441
IQR Weighted, rSDSS, 47.40740740740741
IQR Weighted, J0660, 23.36366744547027
IQR Weighted, iSDSS, 45.57460078937908
IQR Weighted, J0861, 45.611550742746076
ETA, J0395, 0.42833800780035247
ETA, gSDSS, 0.3337108929930001
ETA, J0515, 0.4468405491166226
ETA, rSDSS, 0.4944879074895592
ETA, J0660, 0.4570611711871914
ETA, iSDSS, 0.6661446854844899
ETA, J0861, 0.378778194787098
ETA Weighted, J0395, 0.3869258588915817
ETA Weighted, gSDSS, 0.2711373876080777
ETA Weighted, J0515, 0.43666979965368186
ETA Weighted, rSDSS, 0.4685149328254834
ETA Weighted, J0660, 0.44791079905317
ETA Weighted, iSDSS, 0.9052245391545537
ETA Weighted, J0861, 0.3138076558400838

