Method, Filter, Result
IQR, J0395, 0.0995
IQR, gSDSS, 0.06
IQR, J0515, 0.174
IQR, rSDSS, 0.07100000000000001
IQR, J0660, 0.12000000000000001
IQR, iSDSS, 0.0885
IQR, J0861, 0.194
IQR Weighted, J0395, 1.5224419301436258
IQR Weighted, gSDSS, 2.9889424878231554
IQR Weighted, J0515, 3.0055189963646125
IQR Weighted, rSDSS, 4.213387324816637
IQR Weighted, J0660, 4.31378220070378
IQR Weighted, iSDSS, 3.3196871366179725
IQR Weighted, J0861, 4.390040381580416
ETA, J0395, 0.4489135760236414
ETA, gSDSS, 0.6827989605093895
ETA, J0515, 0.4736232172287679
ETA, rSDSS, 0.7038447573544424
ETA, J0660, 0.5699627916283837
ETA, iSDSS, 0.5821024714873955
ETA, J0861, 0.4146671690496819
ETA Weighted, J0395, 0.22437016897376375
ETA Weighted, gSDSS, 1.0190615075251805
ETA Weighted, J0515, 0.4932212952008255
ETA Weighted, rSDSS, 0.6237175217362784
ETA Weighted, J0660, 0.5604326069407014
ETA Weighted, iSDSS, 0.5223606491173514
ETA Weighted, J0861, 0.41902985960724226
Sigma Weighted, J0395, 0.3087847360115954
Sigma Weighted, gSDSS, 0.1600928901009582
Sigma Weighted, J0515, 0.29800031804280763
Sigma Weighted, rSDSS, 0.10749081397305107
Sigma Weighted, J0660, 0.1748078816695935
Sigma Weighted, iSDSS, 0.1439512424199431
Sigma Weighted, J0861, 0.20431677494441458
MAD, J0395, 0.32913719999999996
MAD, gSDSS, 0.1341753
MAD, J0515, 0.31431119999999996
MAD, rSDSS, 0.11712539999999999
MAD, J0660, 0.1875489
MAD, iSDSS, 0.11267759999999999
MAD, J0861, 0.21052919999999997
Variance NXS, J0395, -19.4165441270219
Variance NXS, gSDSS, 3.591003082205143
Variance NXS, J0515, 1015.8816727633425
Variance NXS, rSDSS, -1049.2132382084799
Variance NXS, J0660, 9.09350570293477
Variance NXS, iSDSS, -22.26988171691251
Variance NXS, J0861, 0.4657850556034128
Peak to Peak, J0395, -0.4924242424242426
Peak to Peak, gSDSS, 3.8247422680412364
Peak to Peak, J0515, 9.674157303370789
Peak to Peak, rSDSS, 2.5081967213114744
Peak to Peak, J0660, -37.57142857142854
Peak to Peak, iSDSS, 1.9038461538461535
Peak to Peak, J0861, -14.28000000000002
Lag-1 Autocorrelation, J0395, nan
Lag-1 Autocorrelation, gSDSS, 0.1901991903790729
Lag-1 Autocorrelation, J0515, -0.1139678622698326
Lag-1 Autocorrelation, rSDSS, 0.24393858909963168
Lag-1 Autocorrelation, J0660, 0.15483579051425836
Lag-1 Autocorrelation, iSDSS, nan
Lag-1 Autocorrelation, J0861, -0.14233408914425633

