Method, Filter, Result
IQR, J0395, 0.31999999999999995
IQR, gSDSS, 0.257
IQR, J0515, 0.242
IQR, rSDSS, 0.194
IQR, J0660, 0.155
IQR, iSDSS, 0.16799999999999998
IQR, J0861, 0.131
IQR Weighted, J0395, 45.626509546103605
IQR Weighted, gSDSS, 3796.875
IQR Weighted, J0515, 566.2573964497042
IQR Weighted, rSDSS, 4951.814058956916
IQR Weighted, J0660, 1164.351851851852
IQR Weighted, iSDSS, 2462.443310657596
IQR Weighted, J0861, 1132.231404958678
ETA, J0395, 1.5822606029724886e-05
ETA, gSDSS, 1.4954837368586551e-07
ETA, J0515, 8.709338730541617e-07
ETA, rSDSS, 8.641726631154457e-08
ETA, J0660, 2.5043962959755606e-07
ETA, iSDSS, 1.5819102318425216e-07
ETA, J0861, 2.860954258579688e-07
ETA Weighted, J0395, 0.00021080236402860365
ETA Weighted, gSDSS, 7.026234924867502e-06
ETA Weighted, J0515, 2.3691505276940253e-05
ETA Weighted, rSDSS, 3.2476913783004016e-06
ETA Weighted, J0660, 7.628706614302398e-06
ETA Weighted, iSDSS, 4.835482538766143e-06
ETA Weighted, J0861, 5.7478566896550576e-06

