Method, Filter, Result
IQR, J0395, 0.2025
IQR, gSDSS, 0.297
IQR, J0515, 0.16699999999999998
IQR, rSDSS, 0.271
IQR, J0660, 0.198
IQR, iSDSS, 0.332
IQR, J0861, 0.2905
IQR Weighted, J0395, 19.859548093477667
IQR Weighted, gSDSS, 744.4045395498706
IQR Weighted, J0515, 110.10068515423598
IQR Weighted, rSDSS, 2339.102242378433
IQR Weighted, J0660, 709.820745332109
IQR Weighted, iSDSS, 1997.6590505943564
IQR Weighted, J0861, 2303.5244208049453
ETA, J0395, 1.241869616094705
ETA, gSDSS, 1.1086398287404864
ETA, J0515, 1.4054269861415858
ETA, rSDSS, 1.1990500572919727
ETA, J0660, 1.5443237633311775
ETA, iSDSS, 1.6525120347671254
ETA, J0861, 1.4850786987073603
ETA Weighted, J0395, 1.5665715585647169
ETA Weighted, gSDSS, 5.836405914995928
ETA Weighted, J0515, 5.015220917630607
ETA Weighted, rSDSS, 5.849954970556993
ETA Weighted, J0660, 7.216056949591682
ETA Weighted, iSDSS, 12.251215014799197
ETA Weighted, J0861, 13.193450144409399
Sigma Weighted, J0395, 0.23460058663437702
Sigma Weighted, gSDSS, 0.24876694344694378
Sigma Weighted, J0515, 0.18336468990556623
Sigma Weighted, rSDSS, 0.1945759013896854
Sigma Weighted, J0660, 0.17429310826662744
Sigma Weighted, iSDSS, 0.2245358503127722
Sigma Weighted, J0861, 0.2130943534909917
MAD, J0395, 0.21307756232686978
MAD, gSDSS, 0.21014285714285716
MAD, J0515, 0.1859545700378583
MAD, rSDSS, 0.17847916666666666
MAD, J0660, 0.1545349716446125
MAD, iSDSS, 0.18978666666666663
MAD, J0861, 0.17144000000000004
Variance NXS, J0395, 36.35809613461708
Variance NXS, gSDSS, 54.911612228551085
Variance NXS, J0515, 21.082319585150813
Variance NXS, rSDSS, 849.8111568358468
Variance NXS, J0660, 155.60146568293152
Variance NXS, iSDSS, 23.085210819094623
Variance NXS, J0861, 6.686187560493203
Peak to Peak, J0395, -111.99999999999989
Peak to Peak, gSDSS, -9.727272727272734
Peak to Peak, J0515, 2.9666666666666663
Peak to Peak, rSDSS, 182.33333333333653
Peak to Peak, J0660, 6.580246913580244
Peak to Peak, iSDSS, -4.316239316239317
Peak to Peak, J0861, -3.4264705882352935
Lag-1 Autocorrelation, J0395, -1659078791967259.5
Lag-1 Autocorrelation, gSDSS, 5080146407617822.0
Lag-1 Autocorrelation, J0515, -2487104140328357.5
Lag-1 Autocorrelation, rSDSS, 2056619153859568.2
Lag-1 Autocorrelation, J0660, 2350107292702392.0
Lag-1 Autocorrelation, iSDSS, nan
Lag-1 Autocorrelation, J0861, -2467489449631008.0

