Method, Filter, Result
IQR, J0395, 0.3355
IQR, gSDSS, 0.3025
IQR, J0515, 0.241
IQR, rSDSS, 0.1935
IQR, J0660, 0.1925
IQR, iSDSS, 0.178
IQR, J0861, 0.1555
IQR Weighted, J0395, 76.3268220663856
IQR Weighted, gSDSS, 970.5773853550296
IQR Weighted, J0515, 157.82395627680188
IQR Weighted, rSDSS, 692.1212121212122
IQR Weighted, J0660, 242.9567533443009
IQR Weighted, iSDSS, 454.017340292192
IQR Weighted, J0861, 265.35237025967626
ETA, J0395, 0.8369677882016385
ETA, gSDSS, 1.1295404316634037
ETA, J0515, 1.0733124733901258
ETA, rSDSS, 1.1489810886880651
ETA, J0660, 0.7332028942711611
ETA, iSDSS, 1.2576780253668849
ETA, J0861, 1.425337828145964
ETA Weighted, J0395, 4.547671855667176
ETA Weighted, gSDSS, 20.202848262951736
ETA Weighted, J0515, 3.492368175294759
ETA Weighted, rSDSS, 15.026499673063924
ETA Weighted, J0660, 2.8654026623544877
ETA Weighted, iSDSS, 9.399963087584453
ETA Weighted, J0861, 6.77237814544583

