Method, Filter, Result
IQR, J0395, 0.009000000000000001
IQR, gSDSS, 0.004
IQR, J0515, 0.0115
IQR, rSDSS, 0.0035
IQR, J0660, 0.004
IQR, iSDSS, 0.0045000000000000005
IQR, J0861, 0.003
IQR Weighted, J0395, 0.000144
IQR Weighted, gSDSS, 2.4e-05
IQR Weighted, J0515, 0.000157
IQR Weighted, rSDSS, 2.65e-05
IQR Weighted, J0660, 2.3500000000000002e-05
IQR Weighted, iSDSS, 6.199999999999999e-05
IQR Weighted, J0861, 5.6500000000000005e-05
ETA, J0395, 0.7122598302055406
ETA, gSDSS, 0.4345517229140673
ETA, J0515, 0.4592640698737596
ETA, rSDSS, 0.7055106541481415
ETA, J0660, 0.532183495029345
ETA, iSDSS, 2.9530267846567444
ETA, J0861, 0.41377415913824134
ETA Weighted, J0395, 1.0137499667446506
ETA Weighted, gSDSS, 0.4102540919592871
ETA Weighted, J0515, 1.2893056322554817
ETA Weighted, rSDSS, 0.3695495121685152
ETA Weighted, J0660, 0.740604666289329
ETA Weighted, iSDSS, 1.1308922481883688
ETA Weighted, J0861, 0.47378995130449925

