Method, Filter, Result
IQR, gSDSS, 0.1275
IQR, J0515, 0.043
IQR, rSDSS, 0.237
IQR, J0660, 0.11699999999999999
IQR, iSDSS, 0.182
IQR, J0861, 0.1825
IQR Weighted, gSDSS, 6.161296352080501
IQR Weighted, J0515, 0.4654242434146868
IQR Weighted, rSDSS, 6.713688763123524
IQR Weighted, J0660, 2.7353835314869
IQR Weighted, iSDSS, 4.818117303346491
IQR Weighted, J0861, 3.907200432613463
ETA, gSDSS, 0.4770771658834852
ETA, J0515, 0.31178181949862227
ETA, rSDSS, 0.47934432608659006
ETA, J0660, 0.4172262566941769
ETA, iSDSS, 0.458984840319215
ETA, J0861, 0.701044663027086
ETA Weighted, gSDSS, 0.455805473242061
ETA Weighted, J0515, 0.15405386165548718
ETA Weighted, rSDSS, 0.37309476499518457
ETA Weighted, J0660, 0.4253120449629787
ETA Weighted, iSDSS, 0.4265168784255941
ETA Weighted, J0861, 1.9572731958529088
Sigma Weighted, gSDSS, 0.1871934921013341
Sigma Weighted, J0515, 0.15297754874821415
Sigma Weighted, rSDSS, 0.269126628433519
Sigma Weighted, J0660, 0.2529532553582641
Sigma Weighted, iSDSS, 0.3084564109309884
Sigma Weighted, J0861, 0.26287023522702263
MAD, gSDSS, 0.14885822306238183
MAD, J0515, 0.116
MAD, rSDSS, 0.2245312
MAD, J0660, 0.20123555555555556
MAD, iSDSS, 0.23483656509695292
MAD, J0861, 0.21209375
Variance NXS, gSDSS, -2.912419026409369
Variance NXS, J0515, -30.566412918108405
Variance NXS, rSDSS, 30.65055813597295
Variance NXS, J0660, 659.0718450645555
Variance NXS, iSDSS, 312.16594878220803
Variance NXS, J0861, 4.247167499293053
Peak to Peak, gSDSS, -2.0375000000000005
Peak to Peak, J0515, -0.8888888888888887
Peak to Peak, rSDSS, 12.42857142857143
Peak to Peak, J0660, 3.3971631205673756
Peak to Peak, iSDSS, -7.729166666666673
Peak to Peak, J0861, 3.025
Lag-1 Autocorrelation, gSDSS, 1395772350926888.8
Lag-1 Autocorrelation, J0515, 1579832725284054.2
Lag-1 Autocorrelation, rSDSS, -287603460672063.2
Lag-1 Autocorrelation, J0660, -448897445207773.3
Lag-1 Autocorrelation, iSDSS, 1005610664034226.1
Lag-1 Autocorrelation, J0861, -2443862012243950.5

