Method, Filter, Result
IQR, J0395, 0
IQR, gSDSS, 0.061
IQR, J0515, 0.152
IQR, rSDSS, 0.0385
IQR, J0660, 0.07
IQR, iSDSS, 0.038
IQR, J0861, 0.036000000000000004
IQR Weighted, J0395, 0
IQR Weighted, gSDSS, 5.085964441178133
IQR Weighted, J0515, 7.597626767855288
IQR Weighted, rSDSS, 9.805494387674093
IQR Weighted, J0660, 19.459807169839856
IQR Weighted, iSDSS, 5.470284396742301
IQR Weighted, J0861, 12.072066117896092
ETA, J0395, 0.25
ETA, gSDSS, 0.761857407764699
ETA, J0515, 0.5140384885863283
ETA, rSDSS, 0.6834946074445605
ETA, J0660, 0.44058332537865963
ETA, iSDSS, 0.685444373264373
ETA, J0861, 0.5062810109241911
ETA Weighted, J0395, 0.25
ETA Weighted, gSDSS, 0.6130803889751426
ETA Weighted, J0515, 0.48782554008500095
ETA Weighted, rSDSS, 0.6344036536572973
ETA Weighted, J0660, 0.4038270037839034
ETA Weighted, iSDSS, 0.6607597030274638
ETA Weighted, J0861, 0.6583029477225631
Sigma Weighted, J0395, 0.017859926664021055
Sigma Weighted, gSDSS, 0.10938469467485053
Sigma Weighted, J0515, 0.1882186610384549
Sigma Weighted, rSDSS, 0.062155167842569865
Sigma Weighted, J0660, 0.06426269442544019
Sigma Weighted, iSDSS, 0.07690524430269093
Sigma Weighted, J0861, 0.048564087256640444
MAD, J0395, 0.012
MAD, gSDSS, 0.0982880658436214
MAD, J0515, 0.18603519999999998
MAD, rSDSS, 0.07432
MAD, J0660, 0.05870781893004115
MAD, iSDSS, 0.07828571428571428
MAD, J0861, 0.052030612244897946
Variance NXS, J0395, nan
Variance NXS, gSDSS, 9.28030076268244
Variance NXS, J0515, 2614.9554681687764
Variance NXS, rSDSS, 3.0279960833827206
Variance NXS, J0660, 1.1977641916640591
Variance NXS, iSDSS, 8.765053128689493
Variance NXS, J0861, 15.404850255661074
Peak to Peak, J0395, -13.583333333333321
Peak to Peak, gSDSS, 1.3064935064935066
Peak to Peak, J0515, 3.297872340425531
Peak to Peak, rSDSS, 1.992
Peak to Peak, J0660, 2.6129032258064515
Peak to Peak, iSDSS, 1.0525059665871122
Peak to Peak, J0861, 2.887640449438202
Lag-1 Autocorrelation, J0395, nan
Lag-1 Autocorrelation, gSDSS, -1115535400500187.2
Lag-1 Autocorrelation, J0515, 843475829951774.2
Lag-1 Autocorrelation, rSDSS, 515396061012666.06
Lag-1 Autocorrelation, J0660, 466207313797551.06
Lag-1 Autocorrelation, iSDSS, 356108629735439.9
Lag-1 Autocorrelation, J0861, -13664619786935.299

