Method, Filter, Result
IQR, gSDSS, 0.057
IQR, J0515, 0.193
IQR, rSDSS, 0.053
IQR, J0660, 0.095
IQR, iSDSS, 0.0945
IQR, J0861, 0.09200000000000001
IQR Weighted, gSDSS, 2.3165971118888997
IQR Weighted, J0515, 7.429774959363377
IQR Weighted, rSDSS, 22.678641362187047
IQR Weighted, J0660, 15.883633247455927
IQR Weighted, iSDSS, 31.34265674257673
IQR Weighted, J0861, 13.200324459026243
ETA, gSDSS, 0.711771523461902
ETA, J0515, 0.927093681661932
ETA, rSDSS, 0.8733662955142646
ETA, J0660, 1.282566543155643
ETA, iSDSS, 1.533424854360162
ETA, J0861, 0.8053225117687198
ETA Weighted, gSDSS, 0.6169173248588941
ETA Weighted, J0515, 1.003566481330635
ETA Weighted, rSDSS, 1.0381827331132258
ETA Weighted, J0660, 1.621721666221481
ETA Weighted, iSDSS, 1.7792770466044272
ETA Weighted, J0861, 0.887551523647427
Sigma Weighted, gSDSS, 0.15839866321237137
Sigma Weighted, J0515, 0.22427641129132214
Sigma Weighted, rSDSS, 0.11448710340476626
Sigma Weighted, J0660, 0.1638218364726047
Sigma Weighted, iSDSS, 0.14084570327449702
Sigma Weighted, J0861, 0.15051918013645738
MAD, gSDSS, 0.059
MAD, J0515, 0.16999999999999998
MAD, rSDSS, 0.077
MAD, J0660, 0.12
MAD, iSDSS, 0.1175
MAD, J0861, 0.121
Variance NXS, gSDSS, -1.3566658198817185
Variance NXS, J0515, 607.7447947650209
Variance NXS, rSDSS, 71.27945088274488
Variance NXS, J0660, 14.201587616144316
Variance NXS, iSDSS, 30.43604578563996
Variance NXS, J0861, 9.553678913360047
Peak to Peak, gSDSS, 0.7034220532319393
Peak to Peak, J0515, -4.530120481927711
Peak to Peak, rSDSS, 13.653061224489782
Peak to Peak, J0660, 2.666666666666667
Peak to Peak, iSDSS, 2.484662576687117
Peak to Peak, J0861, 1.3303834808259587
Lag-1 Autocorrelation, gSDSS, 2.3907037509654926e+30
Lag-1 Autocorrelation, J0515, 5.611842662622672e+30
Lag-1 Autocorrelation, rSDSS, nan
Lag-1 Autocorrelation, J0660, 4.749364676481422e+30
Lag-1 Autocorrelation, iSDSS, 8.41315913346791e+30
Lag-1 Autocorrelation, J0861, 3.3723361751295005e+32

