Method, Filter, Result
IQR, J0395, 0.065
IQR, gSDSS, 0.029
IQR, J0515, 0.057499999999999996
IQR, rSDSS, 0.046
IQR, J0660, 0.044
IQR, iSDSS, 0.03
IQR, J0861, 0.047
IQR Weighted, J0395, 2.3372381965008566
IQR Weighted, gSDSS, 20.038299916577984
IQR Weighted, J0515, 7.348948780507287
IQR Weighted, rSDSS, 135.98412349689332
IQR Weighted, J0660, 22.096029230568078
IQR Weighted, iSDSS, 28.009876543209877
IQR Weighted, J0861, 35.37153152616907
ETA, J0395, 0.47032172906929326
ETA, gSDSS, 2.736121316863919
ETA, J0515, 0.5776047323110359
ETA, rSDSS, 2.3125618265932455
ETA, J0660, 1.3900800418627592
ETA, iSDSS, 1.0654055927462291
ETA, J0861, 1.697856204493495
ETA Weighted, J0395, 0.4692716657242449
ETA Weighted, gSDSS, 2.7829661153773246
ETA Weighted, J0515, 0.5654507566386829
ETA Weighted, rSDSS, 3.4516316986941167
ETA Weighted, J0660, 4.075723020913171
ETA Weighted, iSDSS, 1.1153841677788003
ETA Weighted, J0861, 1.6414417137457522
Sigma Weighted, J0395, 0.21441355615696323
Sigma Weighted, gSDSS, 0.1717254884962255
Sigma Weighted, J0515, 0.08790765222770003
Sigma Weighted, rSDSS, 0.10928700778396416
Sigma Weighted, J0660, 0.13038339673877217
Sigma Weighted, iSDSS, 0.08606687623643842
Sigma Weighted, J0861, 0.10514819628493392
MAD, J0395, 0.18002721088435378
MAD, gSDSS, 0.2598877551020408
MAD, J0515, 0.09495844875346258
MAD, rSDSS, 0.13869097222222224
MAD, J0660, 0.13622222222222222
MAD, iSDSS, 0.09042857142857146
MAD, J0861, 0.11664
Variance NXS, J0395, 1569.6964101239669
Variance NXS, gSDSS, 5.745177285430736
Variance NXS, J0515, 1128.4282879818597
Variance NXS, rSDSS, 9.94513462033545
Variance NXS, J0660, 5.734621010993461
Variance NXS, iSDSS, 12.095808203558683
Variance NXS, J0861, 4.790918163672654
Peak to Peak, J0395, -15.585365853658523
Peak to Peak, gSDSS, 1.4040660736975854
Peak to Peak, J0515, -4.25
Peak to Peak, rSDSS, 1.2185430463576157
Peak to Peak, J0660, 1.288164665523156
Peak to Peak, iSDSS, 2.092783505154639
Peak to Peak, J0861, 1.4772727272727273
Lag-1 Autocorrelation, J0395, 1885837386350994.8
Lag-1 Autocorrelation, gSDSS, -2590435566658820.5
Lag-1 Autocorrelation, J0515, -4825537176954088.0
Lag-1 Autocorrelation, rSDSS, nan
Lag-1 Autocorrelation, J0660, 1209784161668409.2
Lag-1 Autocorrelation, iSDSS, 1959376586280454.2
Lag-1 Autocorrelation, J0861, -1743028235838796.8

