Method, Filter, Result
IQR, J0395, 0.1075
IQR, gSDSS, 0.013000000000000001
IQR, J0515, 0.018000000000000002
IQR, rSDSS, 0.007000000000000001
IQR, J0660, 0.012
IQR, iSDSS, 0.006500000000000001
IQR, J0861, 0.0055000000000000005
IQR Weighted, J0395, 12.012848443781053
IQR Weighted, gSDSS, 90.0925925925926
IQR Weighted, J0515, 19.36606693564879
IQR Weighted, rSDSS, 122.96296296296296
IQR Weighted, J0660, 50.32753842277653
IQR Weighted, iSDSS, 113.09523809523809
IQR Weighted, J0861, 57.50385802469137
ETA, J0395, 0.591169444929628
ETA, gSDSS, 0.4406439611859037
ETA, J0515, 0.37412861873151604
ETA, rSDSS, 0.43832099925650553
ETA, J0660, 0.7932400851284661
ETA, iSDSS, 0.42697659931523724
ETA, J0861, 0.3702449225112838
ETA Weighted, J0395, 0.6316904451486283
ETA Weighted, gSDSS, 0.418779730081451
ETA Weighted, J0515, 0.3351939356659729
ETA Weighted, rSDSS, 0.38610217862600843
ETA Weighted, J0660, 0.9792840600106105
ETA Weighted, iSDSS, 0.4280312801875555
ETA Weighted, J0861, 0.297427546060326
Sigma Weighted, J0395, 0.15870258417748176
Sigma Weighted, gSDSS, 0.026411019147838756
Sigma Weighted, J0515, 0.026612350594641503
Sigma Weighted, rSDSS, 0.008197282381647325
Sigma Weighted, J0660, 0.020208826396888417
Sigma Weighted, iSDSS, 0.007334118941654234
Sigma Weighted, J0861, 0.012318974368563862
MAD, J0395, 0.108
MAD, gSDSS, 0.014
MAD, J0515, 0.0175
MAD, rSDSS, 0.0055
MAD, J0660, 0.011
MAD, iSDSS, 0.005
MAD, J0861, 0.005
Variance NXS, J0395, 8.49614641678134
Variance NXS, gSDSS, 72.95477087879385
Variance NXS, J0515, 116.44424376055542
Variance NXS, rSDSS, 80.57024793388435
Variance NXS, J0660, 35.130143894566984
Variance NXS, iSDSS, -24.816326530612237
Variance NXS, J0861, 29.79986149584489
Peak to Peak, J0395, 5.258503401360544
Peak to Peak, gSDSS, 7.526315789473684
Peak to Peak, J0515, 16.076923076923077
Peak to Peak, rSDSS, -2.3846153846153846
Peak to Peak, J0660, -1.1257485029940122
Peak to Peak, iSDSS, -3.6666666666666674
Peak to Peak, J0861, 1.6428571428571428
Lag-1 Autocorrelation, J0395, 7.219173048703759e+29
Lag-1 Autocorrelation, gSDSS, 2.1732219617959027e+31
Lag-1 Autocorrelation, J0515, -2.7470944447724896e+31
Lag-1 Autocorrelation, rSDSS, -1.0260555514337995e+31
Lag-1 Autocorrelation, J0660, 6.582883925800116e+29
Lag-1 Autocorrelation, iSDSS, -4.3846062360960766e+30
Lag-1 Autocorrelation, J0861, -6.222156620822697e+30

