Method, Filter, Result
IQR, J0395, 0.213
IQR, gSDSS, 0.22099999999999997
IQR, J0515, 0.1265
IQR, rSDSS, 0.11499999999999999
IQR, J0660, 0.076
IQR, iSDSS, 0.0675
IQR, J0861, 0.062
IQR Weighted, J0395, 85.19999999999999
IQR Weighted, gSDSS, 165.4922654962717
IQR Weighted, J0515, 34.901492474543694
IQR Weighted, rSDSS, 143.90320892025557
IQR Weighted, J0660, 49.6732818275606
IQR Weighted, iSDSS, 77.29547741164367
IQR Weighted, J0861, 59.207974368102526
ETA, J0395, 0.7582420012686205
ETA, gSDSS, 1.4382712799042359
ETA, J0515, 1.2996765427376253
ETA, rSDSS, 1.3396847635125266
ETA, J0660, 1.2999937721579826
ETA, iSDSS, 0.9426036415696344
ETA, J0861, 0.7387957510990192
ETA Weighted, J0395, 1.848590464744572
ETA Weighted, gSDSS, 1.687951756976241
ETA Weighted, J0515, 1.6812895846661493
ETA Weighted, rSDSS, 1.7741421898614607
ETA Weighted, J0660, 2.010295294904446
ETA Weighted, iSDSS, 1.0275195408019284
ETA Weighted, J0861, 0.9595700302889756
Sigma Weighted, J0395, 0.41364716595907797
Sigma Weighted, gSDSS, 0.27690493785665643
Sigma Weighted, J0515, 0.2678815463876325
Sigma Weighted, rSDSS, 0.200771338167723
Sigma Weighted, J0660, 0.14764062007700432
Sigma Weighted, iSDSS, 0.12422360377394082
Sigma Weighted, J0861, 0.10107600515448503
MAD, J0395, 0.032
MAD, gSDSS, 0.154
MAD, J0515, 0.1095
MAD, rSDSS, 0.10350000000000001
MAD, J0660, 0.092
MAD, iSDSS, 0.069
MAD, J0861, 0.055
Variance NXS, J0395, -9.638930435578894
Variance NXS, gSDSS, 8.62072430965548
Variance NXS, J0515, 5.086814487712668
Variance NXS, rSDSS, 8.746622812553364
Variance NXS, J0660, 17.692049145347134
Variance NXS, iSDSS, 7.464324293140177
Variance NXS, J0861, 6.1980410677490045
Peak to Peak, J0395, 0.13984168865435362
Peak to Peak, gSDSS, -1.6975806451612903
Peak to Peak, J0515, -1.5506692160611855
Peak to Peak, rSDSS, -1.8692810457516342
Peak to Peak, J0660, -3.0268456375838926
Peak to Peak, iSDSS, -1.8796296296296298
Peak to Peak, J0861, -2.126984126984127
Lag-1 Autocorrelation, J0395, -4.725134371734986e+30
Lag-1 Autocorrelation, gSDSS, 1.485282431754066e+31
Lag-1 Autocorrelation, J0515, 3.007975922101243e+30
Lag-1 Autocorrelation, rSDSS, 5.485363803576025e+31
Lag-1 Autocorrelation, J0660, 6.581586582097609e+30
Lag-1 Autocorrelation, iSDSS, 3.113433344862085e+29
Lag-1 Autocorrelation, J0861, 8.619627211953342e+30

