Method, Filter, Result
IQR, J0395, 0.2215
IQR, gSDSS, 0.131
IQR, J0515, 0.14550000000000002
IQR, rSDSS, 0.08
IQR, J0660, 0.087
IQR, iSDSS, 0.0915
IQR, J0861, 0.058
IQR Weighted, J0395, 14.05138331530232
IQR Weighted, gSDSS, 46.16499783745114
IQR Weighted, J0515, 13.87812782506833
IQR Weighted, rSDSS, 59.55344922613282
IQR Weighted, J0660, 29.960180295275542
IQR Weighted, iSDSS, 8.783552688209564
IQR Weighted, J0861, 6.330116399132571
ETA, J0395, 2.7031324528414313e-05
ETA, gSDSS, 2.2428711136907815e-06
ETA, J0515, 9.419512893805574e-06
ETA, rSDSS, 1.8229122215509838e-06
ETA, J0660, 4.37827614474592e-06
ETA, iSDSS, 1.4655697791391015e-05
ETA, J0861, 1.03875678497866e-05
ETA Weighted, J0395, 8.693178049495622e-05
ETA Weighted, gSDSS, 1.857249117321157e-05
ETA Weighted, J0515, 2.7061122389759108e-05
ETA Weighted, rSDSS, 2.1218726099573292e-05
ETA Weighted, J0660, 1.061031162827975e-05
ETA Weighted, iSDSS, 3.1230802612754284e-05
ETA Weighted, J0861, 2.4465859152306143e-05

