Method, Filter, Result
IQR, J0395, 0.138
IQR, gSDSS, 0.11
IQR, J0515, 0.10999999999999999
IQR, rSDSS, 0.088
IQR, J0660, 0.05
IQR, iSDSS, 0.055
IQR, J0861, 0.045
IQR Weighted, J0395, 5.859981378530322
IQR Weighted, gSDSS, 106.4317867036011
IQR Weighted, J0515, 8.878109750087553
IQR Weighted, rSDSS, 122.35482428265425
IQR Weighted, J0660, 19.627770083102494
IQR Weighted, iSDSS, 24.38281559029392
IQR Weighted, J0861, 12.507501297779193
ETA, J0395, 0.7028196094316573
ETA, gSDSS, 1.2535156636170188
ETA, J0515, 1.0486278715678004
ETA, rSDSS, 1.0101623409916378
ETA, J0660, 1.0175599361870424
ETA, iSDSS, 0.7953552253311841
ETA, J0861, 0.7260638164509836
ETA Weighted, J0395, 1.0637545406977
ETA Weighted, gSDSS, 8.375793164315656
ETA Weighted, J0515, 1.8856670545007124
ETA Weighted, rSDSS, 5.120069456084665
ETA Weighted, J0660, 2.883626952653674
ETA Weighted, iSDSS, 2.4590045674341856
ETA Weighted, J0861, 1.941332089798722
Sigma Weighted, J0395, 0.1997422216550954
Sigma Weighted, gSDSS, 0.1653507934087066
Sigma Weighted, J0515, 0.17138429755089887
Sigma Weighted, rSDSS, 0.12133344899938635
Sigma Weighted, J0660, 0.12163108559016608
Sigma Weighted, iSDSS, 0.09862061567792209
Sigma Weighted, J0861, 0.09759563874358648
MAD, J0395, 0.107
MAD, gSDSS, 0.085
MAD, J0515, 0.094
MAD, rSDSS, 0.086
MAD, J0660, 0.077
MAD, iSDSS, 0.056499999999999995
MAD, J0861, 0.0485
Variance NXS, J0395, 44.73030748958472
Variance NXS, gSDSS, 5.084196593945156
Variance NXS, J0515, 30.987397460567887
Variance NXS, rSDSS, 7.429108990250425
Variance NXS, J0660, 8.924962263028043
Variance NXS, iSDSS, 17.17794372666343
Variance NXS, J0861, 3.1950729372984985
Peak to Peak, J0395, 5.766355140186917
Peak to Peak, gSDSS, 1.7101449275362317
Peak to Peak, J0515, -8.589743589743588
Peak to Peak, rSDSS, 2.0632911392405062
Peak to Peak, J0660, 2.3877551020408156
Peak to Peak, iSDSS, 2.90566037735849
Peak to Peak, J0861, 1.7719298245614037
Lag-1 Autocorrelation, J0395, 7.523198551210483e+29
Lag-1 Autocorrelation, gSDSS, 5.5650866887855495e+31
Lag-1 Autocorrelation, J0515, 6.017889330940241e+31
Lag-1 Autocorrelation, rSDSS, 1.3079404617086069e+31
Lag-1 Autocorrelation, J0660, 6.530599782522236e+30
Lag-1 Autocorrelation, iSDSS, 9.569056468539484e+29
Lag-1 Autocorrelation, J0861, 1.4773950369420578e+30

