#Parameters from JPLUS_DR1
#TILE_ID,26124
#NUMBER,18890
#ALPHA_J2000,105.4705
#DELTA_J2000,40.0661
#J0378,20.956,0.338
#J0395,20.229,0.172
#J0410,20.354,0.196
#J0430,19.858,0.123
#J0515,19.214,0.075
#J0660,18.175,0.033
#J0861,18.145,0.031
#gSDSS,19.068,0.026
#iSDSS,18.042,0.030
#rSDSS,18.331,0.016
#uJAVA,21.811,0.691
#zSDSS,17.875,0.019
#HJD,DMAG,DMAGERR,FILTER
2458209.35938180,0.000,0.155,gSDSS
2458209.36820041,-0.013,0.130,gSDSS
2458209.37706531,-0.107,0.146,gSDSS
2458212.36358759,0.035,0.064,gSDSS
2458212.38122481,0.201,0.068,gSDSS
2458758.66039615,0.331,0.107,gSDSS
2458758.66919327,0.278,0.074,gSDSS
2458758.67797883,-0.022,0.082,gSDSS
2458828.48251812,0.059,0.280,gSDSS
2458828.49131475,-0.149,0.217,gSDSS
2458828.53431409,-0.052,0.156,gSDSS
2458828.54311073,0.137,0.161,gSDSS
2458828.55196524,-0.049,0.177,gSDSS
2458209.36015719,0.459,0.206,J0515
2458209.36897580,-0.147,0.187,J0515
2458212.36436298,0.098,0.135,J0515
2458212.37317002,0.308,0.163,J0515
2458212.38198862,0.254,0.182,J0515
2458758.66124113,-0.194,0.153,J0515
2458758.67002669,0.118,0.185,J0515
2458758.67881224,0.272,0.242,J0515
2458828.53514746,-0.127,0.238,J0515
2458844.47456333,-0.136,0.115,J0515
2458844.48335974,-0.120,0.130,J0515
2458844.49215615,-0.017,0.108,J0515
2458846.46978219,0.045,0.121,J0515
2458846.47859015,-0.198,0.095,J0515
2458846.48740967,0.024,0.094,J0515
2458851.42152106,-0.256,0.157,J0515
2458851.43036366,-0.210,0.159,J0515
2458851.43915997,-0.306,0.186,J0515
2458895.30181510,-0.040,0.291,J0515
2458895.30837717,-0.313,0.274,J0515
2458895.32150130,-0.566,0.107,J0515
2458895.36741263,-0.339,0.194,J0515
2458895.37398627,0.232,0.190,J0515
2458895.38055991,0.478,0.185,J0515
2458895.38711040,0.087,0.103,J0515
2458895.39366090,-0.020,0.123,J0515
2458895.40303528,0.101,0.108,J0515
2458895.40962049,0.193,0.117,J0515
2458895.41620571,0.098,0.138,J0515
2458895.42276777,0.017,0.121,J0515
2458209.36103674,-0.071,0.042,rSDSS
2458209.36984377,0.059,0.045,rSDSS
2458209.37872024,0.001,0.054,rSDSS
2458212.36521938,0.032,0.033,rSDSS
2458212.37403799,0.172,0.049,rSDSS
2458212.38287974,0.116,0.032,rSDSS
2458758.66212085,0.415,0.056,rSDSS
2458758.67090640,0.213,0.044,rSDSS
2458758.67969195,0.208,0.042,rSDSS
2458828.47543451,-0.082,0.175,rSDSS
2458828.48423115,0.225,0.109,rSDSS
2458828.49302778,-0.470,0.160,rSDSS
2458828.53602712,-0.057,0.061,rSDSS
2458828.54483533,-0.139,0.078,rSDSS
2458828.55367827,-0.001,0.057,rSDSS
2458844.47544297,0.124,0.032,rSDSS
2458844.48425096,-0.003,0.029,rSDSS
2458844.49303579,-0.058,0.028,rSDSS
2458846.47067341,-0.090,0.026,rSDSS
2458846.47946978,-0.072,0.025,rSDSS
2458846.48828931,0.012,0.025,rSDSS
2458851.42241226,-0.108,0.033,rSDSS
2458851.43124329,-0.005,0.037,rSDSS
2458851.44003960,0.006,0.053,rSDSS
2458209.36246021,-0.125,0.068,J0660
2458209.37127882,0.053,0.066,J0660
2458209.38014372,0.169,0.073,J0660
2458212.36664286,-0.041,0.052,J0660
2458212.37547304,0.203,0.163,J0660
2458212.38430322,0.225,0.053,J0660
2458758.66349829,0.416,0.075,J0660
2458758.67228385,0.262,0.056,J0660
2458758.68108097,0.274,0.070,J0660
2458828.48560851,0.010,0.186,J0660
2458828.49440515,0.218,0.227,J0660
2458828.53741607,0.067,0.137,J0660
2458828.54621270,-0.114,0.101,J0660
2458828.55506721,-0.132,0.080,J0660
2458844.47682031,0.115,0.048,J0660
2458844.48562829,0.077,0.047,J0660
2458844.49441312,0.058,0.043,J0660
2458846.47205073,-0.193,0.038,J0660
2458846.48085869,-0.011,0.040,J0660
2458846.48966664,-0.147,0.036,J0660
2458851.42378958,-0.061,0.050,J0660
2458851.43262061,-0.043,0.063,J0660
2458851.44140534,0.026,0.073,J0660
2458862.44693972,-0.001,0.097,J0660
2458862.45573586,-0.182,0.069,J0660
2458862.46453201,-0.094,0.067,J0660
2458863.45451391,-0.132,0.090,J0660
2458863.46331004,-0.005,0.075,J0660
2458863.47212931,-0.187,0.073,J0660
2458895.30401403,-0.072,0.075,J0660
2458895.31058767,0.322,0.194,J0660
2458895.31714974,-0.008,0.104,J0660
2458895.32370023,-0.217,0.063,J0660
2458895.33027387,-0.035,0.272,J0660
2458895.36306106,-0.191,0.097,J0660
2458895.36964628,0.001,0.079,J0660
2458895.38275884,-0.052,0.039,J0660
2458895.38932091,0.036,0.042,J0660
2458895.39587140,0.159,0.046,J0660
2458895.40523421,0.258,0.044,J0660
2458895.41186571,0.341,0.048,J0660
2458895.41841621,0.214,0.044,J0660
2458209.36386054,-0.158,0.037,iSDSS
2458209.37267915,-0.118,0.040,iSDSS
