#Parameters from JPLUS_DR1
#TILE_ID,26214
#NUMBER,16917
#ALPHA_J2000,222.0020
#DELTA_J2000,52.9054
#J0378,18.216,0.072
2458209.57654390,0.275,0.055,J0660
2458209.58538647,0.231,0.052,J0660
2458209.59420589,0.175,0.052,J0660
2458256.60153985,-0.100,0.034,J0660
2458256.61048631,-0.241,0.027,J0660
2458256.61940962,-0.256,0.031,J0660
2458260.54546586,0.062,0.032,J0660
2458260.55438915,0.016,0.032,J0660
2458260.56333559,-0.119,0.032,J0660
2458543.68781582,0.000,0.030,J0660
2458543.69679749,-0.059,0.029,J0660
2458543.70574444,0.000,0.026,J0660
2458566.68412042,0.100,0.041,J0660
2458566.69305564,0.158,0.039,J0660
2458566.70197928,0.103,0.042,J0660
2458604.59347625,0.277,0.055,J0660
2458604.60239964,0.103,0.044,J0660
2458604.61135776,0.043,0.033,J0660
2458609.51929971,0.049,0.034,J0660
2458609.52823465,0.063,0.027,J0660
2458609.53715802,0.058,0.033,J0660
2458614.41537582,0.002,0.028,J0660
2458614.42429916,-0.090,0.030,J0660
2458614.43325723,-0.160,0.027,J0660
2458616.42238664,-0.079,0.035,J0660
2458616.43133313,-0.029,0.035,J0660
2458616.44027961,-0.020,0.042,J0660
2457943.50328925,-0.028,0.032,iSDSS
2457943.50401838,-0.051,0.036,iSDSS
2457943.50474752,-0.080,0.033,iSDSS
2457945.45242945,0.023,0.041,iSDSS
2457945.45317016,-0.127,0.053,iSDSS
2457945.45389929,0.101,0.043,iSDSS
2458209.57793279,0.147,0.034,iSDSS
2458209.58678693,0.213,0.034,iSDSS
2458209.59561793,0.180,0.031,iSDSS
2458256.60294026,-0.148,0.024,iSDSS
2458256.61188672,-0.232,0.022,iSDSS
2458256.62081003,-0.296,0.028,iSDSS
2458260.54687785,0.030,0.025,iSDSS
2458260.55581271,-0.003,0.021,iSDSS
2458260.56474758,-0.093,0.026,iSDSS
2458543.68922789,-0.056,0.028,iSDSS
2458543.69820956,-0.053,0.022,iSDSS
2458543.70714493,-0.035,0.022,iSDSS
2458566.68552089,0.108,0.029,iSDSS
2458566.69445611,0.080,0.031,iSDSS
2458566.70339133,0.116,0.027,iSDSS
2458604.59488825,0.180,0.048,iSDSS
2458604.60381165,0.046,0.032,iSDSS
2458604.61275819,-0.002,0.027,iSDSS
2458609.52072328,0.049,0.021,iSDSS
2458609.52964665,0.011,0.024,iSDSS
2458609.53857002,0.051,0.025,iSDSS
2458614.41678781,0.023,0.020,iSDSS
2458614.42572273,-0.045,0.020,iSDSS
2458614.43466922,-0.140,0.022,iSDSS
2458616.42381021,-0.039,0.026,iSDSS
2458616.43273355,0.000,0.034,iSDSS
2458616.44169160,0.002,0.025,iSDSS
2457943.50626366,0.037,0.037,J0861
2457943.50846263,-0.071,0.039,J0861
2457943.51065004,-0.024,0.039,J0861
2457945.45541543,-0.036,0.045,J0861
2457945.45760284,-0.042,0.054,J0861
2457945.45981339,-0.030,0.042,J0861
2458209.57936797,0.150,0.034,J0861
2458209.58822211,0.130,0.033,J0861
2458209.59705311,0.213,0.036,J0861
2458256.60437540,-0.147,0.030,J0861
2458256.61332186,-0.204,0.028,J0861
2458256.62224517,-0.202,0.033,J0861
2458260.54831298,0.051,0.029,J0861
2458260.55724785,-0.051,0.028,J0861
2458260.56618272,-0.096,0.031,J0861
2458543.69067468,-0.073,0.025,J0861
2458543.69964477,-0.048,0.032,J0861
2458543.70858014,0.009,0.028,J0861
2458566.68696766,0.092,0.034,J0861
