#Parameters from JPLUS_DR1
#TILE_ID,26124
#NUMBER,13716
#ALPHA_J2000,105.5662
#DELTA_J2000,39.8995
#J0378,19.026,0.068
#J0395,18.885,0.059
#J0410,18.335,0.037
#J0430,18.207,0.033
#J0515,17.637,0.022
#J0660,17.260,0.017
#J0861,17.130,0.014
#gSDSS,17.763,0.010
#iSDSS,17.060,0.015
#rSDSS,17.248,0.008
#uJAVA,18.991,0.061
#zSDSS,17.090,0.011
#HJD,DMAG,DMAGERR,FILTER
2458209.35830327,0.046,0.195,J0395
2458209.36712188,-0.052,0.188,J0395
2458209.37596363,-0.049,0.210,J0395
2458212.38014604,-0.133,0.141,J0395
2458758.65939115,0.058,0.145,J0395
2458758.66818828,0.007,0.145,J0395
2458758.67696226,-0.224,0.145,J0395
2458828.47271502,0.208,0.321,J0395
2458828.53330764,0.196,0.251,J0395
2458828.54210428,0.144,0.266,J0395
2458844.47272638,0.219,0.117,J0395
2458844.48152279,0.038,0.116,J0395
2458844.49033077,0.232,0.110,J0395
2458846.46794558,-0.216,0.099,J0395
2458846.47675354,0.038,0.093,J0395
2458846.48557307,0.000,0.089,J0395
2458851.41968528,-0.102,0.120,J0395
2458851.42850474,-0.046,0.143,J0395
2458851.43732419,0.131,0.139,J0395
2458895.30643093,-0.102,0.181,J0395
2458895.31955507,0.181,0.163,J0395
2458895.32610556,-0.147,0.198,J0395
2458895.36546639,-0.016,0.162,J0395
2458895.37204004,0.327,0.196,J0395
2458895.37860210,0.206,0.137,J0395
2458895.38516417,-0.142,0.105,J0395
2458895.39171467,-0.007,0.122,J0395
2458895.40107747,0.072,0.114,J0395
2458895.40767426,-0.105,0.104,J0395
2458895.41427105,-0.056,0.122,J0395
2458895.42082154,-0.337,0.105,J0395
2458209.35939113,0.104,0.035,gSDSS
2458209.36820974,0.109,0.038,gSDSS
2458209.37707464,0.024,0.048,gSDSS
2458212.36359669,-0.097,0.019,gSDSS
2458212.38123390,-0.054,0.021,gSDSS
2458758.66038661,0.117,0.026,gSDSS
2458758.66918374,-0.043,0.022,gSDSS
2458758.67796930,-0.080,0.022,gSDSS
2458828.47372200,-0.073,0.134,gSDSS
2458828.48251864,-0.024,0.091,gSDSS
2458828.49131528,-0.036,0.070,gSDSS
2458828.53431463,0.194,0.052,gSDSS
2458828.54311126,0.134,0.074,gSDSS
2458828.55196577,0.237,0.064,gSDSS
2458209.36016652,0.126,0.076,J0515
2458209.36898513,0.024,0.070,J0515
2458209.37785003,0.149,0.078,J0515
2458212.36437208,-0.061,0.041,J0515
2458212.37317911,-0.051,0.044,J0515
