#Parameters from JPLUS_DR1
#TILE_ID,26069
#NUMBER,35637
#ALPHA_J2000,258.0919
#DELTA_J2000,32.3156
#J0378,17.667,0.016
#J0395,17.557,0.026
#J0410,17.473,0.026
#J0430,17.387,0.024
#J0515,17.311,0.021
#J0660,17.023,0.008
#J0861,17.148,0.028
#gSDSS,17.341,0.014
#iSDSS,17.168,0.016
#rSDSS,17.195,0.011
#uJAVA,17.667,0.012
#zSDSS,17.103,0.023
#HJD,DMAG,DMAGERR,FILTER
2458240.55575519,0.008,0.071,J0395
2458240.56472537,0.185,0.088,J0395
2458240.57364924,0.381,0.099,J0395
2458377.38880650,0.077,0.080,J0395
2458377.39772962,-0.200,0.069,J0395
2458377.40664116,0.062,0.079,J0395
2458629.54475578,-0.103,0.077,J0395
2458629.55372576,-0.177,0.067,J0395
2458629.56269575,-0.267,0.062,J0395
2458631.53093966,-0.261,0.065,J0395
2458638.57571922,0.008,0.060,J0395
2458638.58464283,-0.307,0.064,J0395
2458638.59356644,-0.166,0.067,J0395
2458640.54156199,-0.097,0.064,J0395
2458640.55047401,-0.006,0.063,J0395
2458644.57303919,0.006,0.067,J0395
2458644.58202062,0.211,0.060,J0395
2458644.59095575,0.069,0.107,J0395
2458659.48210805,-0.476,0.054,J0395
2458659.49093890,-0.169,0.061,J0395
2458659.49973502,-0.106,0.058,J0395
2458667.45977142,0.140,0.061,J0395
2458667.46859063,0.091,0.061,J0395
2458667.47742142,0.046,0.062,J0395
2458670.46157484,0.216,0.135,J0395
2458670.47035931,-0.031,0.065,J0395
2458670.47915535,0.113,0.064,J0395
2458688.42248427,0.178,0.066,J0395
2458688.43130335,1.190,0.103,J0395
2458922.64495895,-0.174,0.072,J0395
2458922.65376731,-0.133,0.072,J0395
2458922.66256411,-0.047,0.072,J0395
2458240.55688948,0.056,0.031,gSDSS
2458240.56583651,0.061,0.028,gSDSS
2458240.57476039,0.092,0.026,gSDSS
2458377.38990598,0.109,0.020,gSDSS
2458377.39882909,0.003,0.017,gSDSS
2458377.40777536,0.032,0.018,gSDSS
2458629.54586690,-0.231,0.016,gSDSS
2458629.55482531,-0.186,0.016,gSDSS
2458629.56380687,-0.276,0.016,gSDSS
2458631.53205078,-0.272,0.014,gSDSS
2458638.57681875,-0.121,0.015,gSDSS
2458638.58575394,-0.188,0.014,gSDSS
2458638.59467755,-0.023,0.016,gSDSS
2458640.53374951,0.025,0.020,gSDSS
2458640.54267310,-0.049,0.014,gSDSS
2458640.55159670,-0.062,0.015,gSDSS
2458644.57415030,0.137,0.015,gSDSS
2458644.58313172,0.163,0.017,gSDSS
2458644.59206686,0.130,0.021,gSDSS
2458659.48312655,-0.351,0.013,gSDSS
2458659.49194582,-0.175,0.014,gSDSS
2458659.50074195,-0.220,0.014,gSDSS
2458667.46077834,-0.003,0.015,gSDSS
2458667.46959755,-0.003,0.015,gSDSS
2458667.47842834,0.035,0.014,gSDSS
2458670.46258176,0.122,0.028,gSDSS
2458670.47136623,0.081,0.016,gSDSS
2458670.48015069,0.067,0.015,gSDSS
2458688.42350275,0.156,0.025,gSDSS
2458688.43231025,0.991,0.025,gSDSS
2458688.44111775,1.573,0.037,gSDSS
2458922.64597752,-0.221,0.021,gSDSS
2458922.65477432,-0.183,0.021,gSDSS
2458922.66357111,-0.076,0.022,gSDSS
2458240.55768812,0.146,0.065,J0515
2458240.56662357,0.263,0.064,J0515
2458240.57554745,0.190,0.062,J0515
2458377.39070454,-0.063,0.065,J0515
2458377.39962766,0.036,0.043,J0515
2458377.40855078,0.000,0.040,J0515
2458629.54665394,-0.172,0.041,J0515
2458629.55562393,-0.173,0.043,J0515
2458629.56459391,-0.371,0.040,J0515
2458631.53283782,-0.253,0.034,J0515
2458638.57760579,-0.071,0.035,J0515
2458638.58654098,-0.065,0.035,J0515
2458638.59545301,-0.011,0.040,J0515
2458640.53453655,0.105,0.047,J0515
2458640.54346014,0.025,0.037,J0515
2458640.55238373,-0.133,0.056,J0515
