#Parameters from JPLUS_DR1
#TILE_ID,26124
#NUMBER,10168
#ALPHA_J2000,105.9867
#DELTA_J2000,39.7837
#J0378,18.282,0.040
#J0395,18.136,0.035
#J0410,17.258,0.018
#J0430,17.147,0.016
#J0515,16.390,0.010
#J0660,15.792,0.007
#J0861,15.544,0.004
#gSDSS,16.573,0.005
#iSDSS,15.626,0.005
#rSDSS,15.873,0.003
#uJAVA,18.356,0.039
#zSDSS,15.521,0.003
#HJD,DMAG,DMAGERR,FILTER
2458209.35833696,-0.007,0.116,J0395
2458209.36715556,-0.076,0.100,J0395
2458209.37599732,-0.119,0.139,J0395
2458212.37134947,0.628,0.252,J0395
2458212.38017965,-0.090,0.097,J0395
2458758.65935738,-0.086,0.070,J0395
2458758.66815451,-0.009,0.100,J0395
2458758.67692848,0.343,0.189,J0395
2458828.47270347,0.067,0.231,J0395
2458828.49029676,0.531,0.320,J0395
2458828.53329613,-0.295,0.155,J0395
2458828.54209277,-0.017,0.190,J0395
2458828.55995227,0.147,0.166,J0395
2458844.47272403,0.075,0.070,J0395
2458844.48152045,0.083,0.073,J0395
2458844.49032844,0.084,0.082,J0395
2458846.46794442,-0.134,0.067,J0395
2458846.47675237,-0.085,0.071,J0395
2458846.48557191,0.075,0.064,J0395
2458851.41968704,0.007,0.100,J0395
2458851.42850650,-0.135,0.096,J0395
2458851.43732596,0.405,0.146,J0395
2458895.30645555,0.125,0.132,J0395
2458895.31300604,0.436,0.189,J0395
2458895.31957969,0.246,0.108,J0395
2458895.32613019,0.180,0.128,J0395
2458895.33270383,0.282,0.293,J0395
2458895.34583954,0.017,0.217,J0395
2458895.35240162,0.008,0.177,J0395
2458895.36549104,-0.260,0.116,J0395
2458895.37206468,-0.127,0.090,J0395
2458895.37862675,0.191,0.131,J0395
2458895.38518882,-0.089,0.078,J0395
2458895.39173932,-0.107,0.065,J0395
2458895.40110213,-0.172,0.068,J0395
2458895.40769892,-0.086,0.067,J0395
2458895.41429571,-0.096,0.066,J0395
2458895.42084621,-0.195,0.067,J0395
2458209.35942482,0.007,0.014,gSDSS
2458209.36824342,0.027,0.016,gSDSS
2458209.37710832,-0.030,0.017,gSDSS
2458212.36363029,0.002,0.010,gSDSS
2458212.38126751,0.001,0.012,gSDSS
2458758.66035284,0.007,0.012,gSDSS
2458758.66914997,-0.017,0.011,gSDSS
2458758.67793552,0.020,0.012,gSDSS
2458828.47371046,-0.001,0.051,gSDSS
2458828.48250710,-0.040,0.034,gSDSS
2458828.49130374,-0.005,0.034,gSDSS
2458828.53430311,-0.020,0.020,gSDSS
2458828.54309976,-0.010,0.025,gSDSS
2458828.55195427,0.010,0.020,gSDSS
2458209.36020021,0.029,0.028,J0515
2458209.36901881,0.009,0.027,J0515
2458209.37788371,-0.047,0.033,J0515
2458212.36440568,0.027,0.021,J0515
2458212.37321271,0.003,0.022,J0515
2458212.38203132,-0.006,0.021,J0515
2458758.66119783,0.023,0.025,J0515
2458758.66998338,0.011,0.025,J0515
2458758.67876894,0.044,0.027,J0515
2458828.47454382,-0.269,0.092,J0515
2458828.48334047,-0.128,0.065,J0515
2458828.49213711,-0.054,0.058,J0515
2458828.53513648,-0.075,0.044,J0515
2458828.54394470,0.049,0.046,J0515
2458828.55278764,0.081,0.041,J0515
2458844.47456434,0.046,0.023,J0515
2458844.48336075,0.033,0.022,J0515
2458844.49215717,0.020,0.021,J0515
2458846.46978471,-0.011,0.022,J0515
2458846.47859267,-0.014,0.022,J0515
2458846.48741220,-0.002,0.020,J0515
2458851.42152732,-0.011,0.025,J0515
2458851.43036993,-0.026,0.027,J0515
2458851.43916624,-0.001,0.034,J0515
2458895.30184937,0.066,0.044,J0515
2458895.30841144,0.052,0.048,J0515
2458895.31496194,-0.130,0.079,J0515
2458895.32153558,-0.051,0.022,J0515
2458895.32808608,-0.049,0.073,J0515
2458895.33467129,-0.125,0.170,J0515
2458895.34122179,-0.122,0.154,J0515
2458895.34779544,0.162,0.113,J0515
2458895.35434593,0.045,0.199,J0515
2458895.36089643,-0.033,0.060,J0515
2458895.36744693,0.019,0.034,J0515
2458895.37402057,0.002,0.024,J0515
2458895.38059421,0.000,0.021,J0515
2458895.38714471,0.024,0.021,J0515
2458895.39369521,0.024,0.021,J0515
2458895.40306959,-0.021,0.020,J0515
2458895.40965481,-0.008,0.020,J0515
2458895.41624003,-0.001,0.020,J0515
2458895.42280210,0.001,0.021,J0515
2458209.36107975,-0.004,0.007,rSDSS
2458209.36988679,-0.008,0.007,rSDSS
2458209.37876326,-0.003,0.007,rSDSS
2458212.36526208,0.003,0.006,rSDSS
2458212.37408069,-0.004,0.007,rSDSS
2458212.38292244,0.000,0.006,rSDSS
2458758.66207754,0.007,0.008,rSDSS
2458758.67086309,-0.005,0.007,rSDSS
2458758.67964865,-0.005,0.007,rSDSS
2458828.47542349,-0.015,0.020,rSDSS
2458828.48422013,0.008,0.015,rSDSS
2458828.49301677,-0.023,0.029,rSDSS
2458828.53601614,0.033,0.011,rSDSS
2458828.54482436,0.001,0.011,rSDSS
2458828.55366730,-0.015,0.010,rSDSS
2458844.47544398,0.017,0.007,rSDSS
2458844.48425197,0.011,0.006,rSDSS
2458844.49303681,0.010,0.006,rSDSS
2458846.47067592,0.001,0.007,rSDSS
2458846.47947231,0.006,0.007,rSDSS
2458846.48829184,-0.000,0.007,rSDSS
2458851.42241852,-0.006,0.008,rSDSS
2458851.43124956,-0.003,0.009,rSDSS
2458851.44004587,0.020,0.010,rSDSS
2458209.36250323,-0.030,0.011,J0660
2458209.37132184,-0.012,0.012,J0660
2458209.38018674,0.012,0.012,J0660
2458212.36668556,-0.009,0.011,J0660
2458212.37551574,0.048,0.021,J0660
2458212.38434592,0.007,0.011,J0660
2458758.66345499,0.017,0.014,J0660
2458758.67224054,-0.005,0.012,J0660
2458758.68103767,0.015,0.012,J0660
2458828.47680086,-0.061,0.057,J0660
2458828.48559750,0.074,0.023,J0660
2458828.49439414,-0.030,0.035,J0660
2458828.53740509,0.011,0.021,J0660
2458828.54620173,-0.026,0.020,J0660
2458828.55505624,0.002,0.018,J0660
2458844.47682131,0.005,0.011,J0660
2458844.48562930,0.004,0.011,J0660
2458844.49441414,-0.020,0.010,J0660
2458846.47205325,-0.005,0.013,J0660
2458846.48086121,-0.003,0.013,J0660
2458846.48966917,-0.013,0.012,J0660
2458851.42379584,-0.017,0.014,J0660
2458851.43262687,-0.014,0.017,J0660
2458851.44141161,0.003,0.018,J0660
2458862.44695409,-0.039,0.018,J0660
2458862.45575024,-0.017,0.014,J0660
2458862.46454639,0.012,0.016,J0660
2458863.45452900,0.026,0.014,J0660
2458863.46332513,0.006,0.013,J0660
