#Parameters from JPLUS_DR1
#TILE_ID,26124
#NUMBER,10274
#ALPHA_J2000,105.9912
#DELTA_J2000,39.7869
#J0378,17.960,0.032
#J0395,17.833,0.028
#J0410,17.082,0.016
#J0430,16.962,0.014
#J0515,16.136,0.008
#J0660,15.539,0.006
#J0861,15.274,0.004
#gSDSS,16.357,0.004
#iSDSS,15.369,0.005
#rSDSS,15.642,0.003
#uJAVA,18.264,0.038
#zSDSS,15.252,0.003
#HJD,DMAG,DMAGERR,FILTER
2458209.35833726,-0.161,0.107,J0395
2458209.36715587,-0.039,0.086,J0395
2458209.37599762,-0.046,0.087,J0395
2458212.37134978,-0.415,0.102,J0395
2458212.38017996,-0.101,0.081,J0395
2458758.65935707,0.021,0.066,J0395
2458758.66815420,0.255,0.086,J0395
2458758.67692818,-0.157,0.089,J0395
2458828.47270325,0.353,0.212,J0395
2458828.48149989,-0.007,0.199,J0395
2458828.49029654,0.450,0.173,J0395
2458828.53329591,-0.393,0.120,J0395
2458828.54209255,-0.108,0.163,J0395
2458828.55995205,0.270,0.153,J0395
2458844.47272389,-0.006,0.060,J0395
2458844.48152030,-0.023,0.061,J0395
2458844.49032829,0.174,0.065,J0395
2458846.46794428,0.121,0.062,J0395
2458846.47675224,-0.092,0.057,J0395
2458846.48557177,0.053,0.056,J0395
2458851.41968693,0.000,0.079,J0395
2458851.42850639,-0.003,0.083,J0395
2458851.43732585,0.111,0.095,J0395
2458895.30645568,0.050,0.121,J0395
2458895.31300618,0.328,0.186,J0395
2458895.31957982,0.100,0.096,J0395
2458895.32613032,0.497,0.143,J0395
2458895.33270396,0.323,0.322,J0395
2458895.34583968,0.751,0.291,J0395
2458895.35240175,0.219,0.271,J0395
2458895.36549117,-0.097,0.092,J0395
2458895.37206482,0.114,0.084,J0395
2458895.37862689,0.254,0.119,J0395
2458895.38518896,-0.063,0.058,J0395
2458895.39173945,-0.053,0.057,J0395
2458895.40110227,-0.023,0.054,J0395
2458895.40769906,-0.087,0.057,J0395
2458895.41429585,-0.148,0.055,J0395
2458895.42084634,0.035,0.061,J0395
2458209.35942512,0.006,0.012,gSDSS
2458209.36824373,0.019,0.013,gSDSS
2458209.37710863,-0.006,0.015,gSDSS
2458212.36363060,0.014,0.009,gSDSS
2458212.38126782,-0.014,0.010,gSDSS
2458758.66035254,0.010,0.011,gSDSS
2458758.66914967,-0.018,0.010,gSDSS
2458758.67793522,-0.006,0.010,gSDSS
2458828.47371024,0.089,0.038,gSDSS
2458828.48250688,0.112,0.031,gSDSS
