#Parameters from JPLUS_DR1
#TILE_ID,26124
#NUMBER,12769
#ALPHA_J2000,106.1628
#DELTA_J2000,39.8673
#J0378,17.537,0.022
#J0395,17.424,0.020
#J0410,16.983,0.014
#J0430,16.942,0.014
#J0515,16.514,0.011
#J0660,16.237,0.009
#J0861,16.158,0.007
#gSDSS,16.642,0.005
#iSDSS,16.152,0.008
#rSDSS,16.264,0.004
#uJAVA,17.742,0.024
#zSDSS,16.154,0.005
#HJD,DMAG,DMAGERR,FILTER
2458209.35834941,-0.003,0.068,J0395
2458209.36716801,-0.052,0.073,J0395
2458209.37600977,-0.014,0.081,J0395
2458212.37136208,0.001,0.088,J0395
2458212.38019226,-0.128,0.059,J0395
2458758.65934506,-0.005,0.061,J0395
2458758.66814219,0.079,0.063,J0395
2458758.67691616,-0.005,0.072,J0395
2458828.47269571,0.135,0.109,J0395
2458828.48149236,-0.161,0.167,J0395
2458828.49028900,0.190,0.127,J0395
2458828.53328838,0.164,0.113,J0395
2458828.54208503,0.063,0.127,J0395
2458828.55994453,-0.055,0.111,J0395
2458844.47271942,0.013,0.053,J0395
2458844.48151583,-0.001,0.053,J0395
2458844.49032382,0.037,0.051,J0395
2458846.46794022,-0.005,0.054,J0395
2458846.47674818,0.019,0.052,J0395
2458846.48556772,0.032,0.052,J0395
2458851.41968391,0.104,0.061,J0395
2458851.42850337,0.018,0.072,J0395
2458851.43732284,-0.010,0.068,J0395
2458895.30646199,-0.059,0.098,J0395
2458895.31301249,0.383,0.163,J0395
2458895.31958613,-0.095,0.072,J0395
2458895.32613663,0.105,0.091,J0395
2458895.33271027,-0.166,0.199,J0395
2458895.34584599,0.006,0.200,J0395
2458895.35240806,-0.227,0.143,J0395
2458895.35895856,0.020,0.241,J0395
2458895.36549749,-0.054,0.071,J0395
2458895.37207113,-0.027,0.065,J0395
2458895.37863320,-0.073,0.061,J0395
2458895.38519528,0.022,0.054,J0395
2458895.39174577,0.123,0.055,J0395
2458895.40110859,0.055,0.051,J0395
2458895.40770538,-0.003,0.053,J0395
2458895.41430217,0.102,0.054,J0395
2458895.42085267,-0.012,0.053,J0395
2458209.35943727,0.004,0.015,gSDSS
2458209.36825587,-0.003,0.016,gSDSS
2458209.37712077,0.006,0.018,gSDSS
2458212.36364291,-0.011,0.011,gSDSS
2458212.38128012,-0.003,0.012,gSDSS
2458758.66034052,0.010,0.013,gSDSS
2458758.66913765,0.008,0.012,gSDSS
2458758.67792320,-0.026,0.012,gSDSS
2458828.47370270,0.009,0.054,gSDSS
2458828.48249934,-0.137,0.041,gSDSS
2458828.49129599,0.070,0.034,gSDSS
2458828.53429537,0.001,0.021,gSDSS
2458828.54309201,-0.050,0.025,gSDSS
2458828.55194652,-0.001,0.022,gSDSS
2458209.36021266,-0.024,0.030,J0515
2458209.36903126,0.054,0.029,J0515
2458209.37789616,0.032,0.038,J0515
2458212.36441830,-0.026,0.023,J0515
2458212.37322533,0.000,0.023,J0515
2458212.38204394,0.001,0.023,J0515
2458758.66118551,-0.018,0.030,J0515
2458758.66997106,-0.037,0.028,J0515
2458758.67875662,-0.012,0.028,J0515
2458828.47453607,0.148,0.094,J0515
2458828.48333271,0.023,0.079,J0515
2458828.49212935,-0.050,0.078,J0515
2458828.53512873,-0.003,0.046,J0515
2458828.54393695,-0.057,0.052,J0515
2458828.55277989,-0.007,0.044,J0515
2458844.47455972,0.010,0.025,J0515
2458844.48335614,0.017,0.024,J0515
2458844.49215255,-0.000,0.023,J0515
2458846.46978052,0.015,0.024,J0515
2458846.47858848,0.024,0.024,J0515
2458846.48740801,0.030,0.022,J0515
2458851.42152419,0.024,0.028,J0515
2458851.43036680,-0.012,0.030,J0515
2458851.43916312,-0.030,0.037,J0515
2458895.30185581,0.044,0.044,J0515
2458895.30841788,0.058,0.049,J0515
2458895.31496838,-0.244,0.084,J0515
2458895.32154202,-0.007,0.024,J0515
2458895.32809252,-0.043,0.068,J0515
2458895.33467774,0.122,0.258,J0515
2458895.34122824,-0.159,0.167,J0515
2458895.34780188,0.058,0.098,J0515
2458895.35435238,0.264,0.222,J0515
2458895.36090288,0.053,0.083,J0515
2458895.36745338,-0.013,0.038,J0515
2458895.37402702,0.001,0.026,J0515
2458895.38060067,-0.026,0.023,J0515
2458895.38715117,-0.041,0.022,J0515
2458895.39370167,0.009,0.023,J0515
2458895.40307605,0.035,0.023,J0515
2458895.40966127,0.030,0.022,J0515
2458895.41624649,-0.002,0.023,J0515
2458895.42280856,-0.007,0.024,J0515
2458209.36109220,-0.017,0.010,rSDSS
2458209.36989924,0.000,0.010,rSDSS
2458209.37877571,-0.004,0.009,rSDSS
2458212.36527470,0.005,0.008,rSDSS
2458212.37409330,0.003,0.009,rSDSS
2458212.38293506,0.023,0.007,rSDSS
2458758.66206522,-0.004,0.010,rSDSS
2458758.67085077,0.015,0.009,rSDSS
2458758.67963633,-0.004,0.009,rSDSS
2458828.47541573,0.007,0.030,rSDSS
2458828.48421237,-0.004,0.020,rSDSS
2458828.49300902,-0.002,0.033,rSDSS
2458828.53600840,0.021,0.015,rSDSS
2458828.54481661,-0.014,0.014,rSDSS
2458828.55365956,-0.010,0.012,rSDSS
2458844.47543936,0.003,0.008,rSDSS
2458844.48424735,0.000,0.008,rSDSS
2458844.49303219,0.014,0.008,rSDSS
2458846.47067173,0.007,0.008,rSDSS
2458846.47946812,-0.000,0.008,rSDSS
2458846.48828765,-0.004,0.008,rSDSS
2458851.42241540,-0.004,0.010,rSDSS
2458851.43124643,-0.016,0.010,rSDSS
2458851.44004275,0.026,0.013,rSDSS
2458209.36251568,-0.004,0.016,J0660
2458209.37133429,-0.012,0.016,J0660
2458209.38019919,0.004,0.016,J0660
2458212.36669817,-0.021,0.013,J0660
2458212.37552835,0.025,0.028,J0660
2458212.38435853,0.002,0.013,J0660
2458758.66344267,-0.018,0.015,J0660
2458758.67222822,0.030,0.014,J0660
2458758.68102535,-0.003,0.015,J0660
2458828.47679310,-0.062,0.090,J0660
2458828.48558974,0.033,0.032,J0660
2458828.49438639,-0.014,0.050,J0660
2458828.53739734,0.046,0.027,J0660
2458828.54619398,0.004,0.026,J0660
2458828.55504850,-0.011,0.022,J0660
2458844.47681669,-0.001,0.014,J0660
2458844.48562469,-0.011,0.013,J0660
2458844.49440953,-0.000,0.013,J0660
2458846.47204906,0.008,0.014,J0660
2458846.48085702,0.017,0.013,J0660
2458846.48966498,-0.007,0.013,J0660
2458851.42379272,0.005,0.015,J0660
2458851.43262375,-0.041,0.018,J0660
2458851.44140849,-0.027,0.019,J0660
2458862.44695343,0.042,0.025,J0660
2458862.45574958,0.009,0.018,J0660
2458862.46454573,-0.007,0.019,J0660
2458863.45452856,-0.031,0.018,J0660
2458863.46332469,0.016,0.017,J0660
2458863.47214398,0.027,0.017,J0660
2458895.30405474,0.012,0.019,J0660
2458895.31062838,0.081,0.053,J0660
2458895.31719045,-0.033,0.027,J0660
2458895.32374095,0.010,0.018,J0660
2458895.33031460,-0.002,0.066,J0660
2458895.34345031,0.000,0.071,J0660
2458895.35001239,0.028,0.080,J0660
2458895.35656289,0.158,0.103,J0660
2458895.36310181,0.026,0.032,J0660
2458895.36968703,-0.004,0.020,J0660
2458895.38279960,0.003,0.012,J0660
2458895.38936167,-0.000,0.012,J0660
2458895.39591217,0.001,0.012,J0660
2458895.40527498,-0.017,0.012,J0660
2458895.41190649,-0.004,0.012,J0660
2458895.41845699,-0.002,0.012,J0660
2458209.36391601,-0.020,0.010,iSDSS
2458209.37273462,-0.015,0.010,iSDSS
2458209.38162266,0.017,0.010,iSDSS
2458212.36811008,0.000,0.010,iSDSS
2458212.37692868,0.011,0.017,iSDSS
2458212.38575886,-0.002,0.012,iSDSS
2458758.66485484,0.034,0.013,iSDSS
2458758.67364039,0.003,0.012,iSDSS
2458758.68242594,0.013,0.011,iSDSS
2458828.47820519,-0.226,0.076,iSDSS
2458828.48700184,0.012,0.039,iSDSS
2458828.49579848,0.002,0.022,iSDSS
2458828.53880943,-0.044,0.020,iSDSS
2458828.54759450,-0.040,0.019,iSDSS
2458828.55644902,-0.009,0.015,iSDSS
2458209.36533948,0.000,0.011,J0861
2458209.37415809,0.015,0.011,J0861
2458209.38305771,-0.020,0.011,J0861
2458212.36953355,0.000,0.016,J0861
2458212.37836373,0.057,0.049,J0861
2458212.38719391,-0.013,0.011,J0861
2458758.66633646,-0.006,0.015,J0861
2458758.67512201,0.028,0.016,J0861
2458758.68391914,-0.022,0.015,J0861
2458828.47969831,0.032,0.035,J0861
2458828.48848338,0.043,0.037,J0861
2458828.49728002,-0.012,0.023,J0861
2458828.54030255,-0.018,0.021,J0861
2458828.54908762,-0.016,0.018,J0861
2458828.55794213,0.032,0.017,J0861
