#Parameters from JPLUS_DR1
#TILE_ID,26023
#NUMBER,1979
#ALPHA_J2000,132.6776
#DELTA_J2000,29.8822
#J0378,15.988,0.012
#J0395,15.629,0.009
#J0410,14.971,0.006
#J0430,14.782,0.005
#J0515,14.122,0.004
#J0660,13.602,0.003
#J0861,13.458,0.003
#gSDSS,14.260,0.003
#iSDSS,13.500,0.003
#rSDSS,13.670,0.002
#uJAVA,16.082,0.012
#zSDSS,13.448,0.003
#HJD,DMAG,DMAGERR,FILTER
2458828.56172355,0.058,0.027,J0395
2458828.57053207,0.034,0.029,J0395
2458828.57932901,-0.009,0.029,J0395
2458842.50024252,0.037,0.021,J0395
2458842.50906246,0.007,0.021,J0395
2458842.51784767,-0.019,0.020,J0395
2458844.55691609,0.019,0.021,J0395
2458844.56572442,-0.007,0.022,J0395
2458844.57452118,0.004,0.023,J0395
2458846.55272396,0.012,0.020,J0395
2458846.56153227,0.045,0.023,J0395
2458846.57034057,-0.001,0.021,J0395
2458851.47779904,0.016,0.022,J0395
2458851.48658413,-0.006,0.022,J0395
2458851.49538079,0.017,0.022,J0395
2458856.42954995,0.113,0.058,J0395
2458856.43839284,0.001,0.058,J0395
2458856.44720101,-0.008,0.053,J0395
2458857.44956070,-0.032,0.030,J0395
2458857.45838043,-0.023,0.032,J0395
2458857.46716544,-0.004,0.027,J0395
2458880.41216348,0.034,0.031,J0395
2458880.42097129,-0.140,0.031,J0395
2458880.42977910,0.025,0.029,J0395
2458880.44073967,0.033,0.024,J0395
2458880.44954748,0.033,0.023,J0395
2458880.45836687,-0.100,0.028,J0395
2458884.59422713,-0.011,0.028,J0395
2458884.60302330,-0.016,0.030,J0395
2458884.61183105,-0.006,0.029,J0395
2458902.36300238,-0.017,0.019,J0395
2458902.37185617,-0.019,0.019,J0395
2458902.38073311,0.000,0.019,J0395
2458905.33244040,0.040,0.026,J0395
2458905.34124786,0.057,0.027,J0395
2458905.35005531,-0.004,0.027,J0395
2458922.37502159,0.028,0.023,J0395
2458922.38381727,-0.005,0.023,J0395
2458922.39263610,-0.074,0.032,J0395
2458828.56273057,-0.010,0.004,gSDSS
2458828.57153908,0.005,0.005,gSDSS
2458828.58033603,0.003,0.005,gSDSS
2458842.50124953,0.002,0.004,gSDSS
2458842.51006946,-0.002,0.004,gSDSS
2458842.51885467,0.003,0.004,gSDSS
2458844.55791151,0.003,0.004,gSDSS
2458844.56671984,0.003,0.004,gSDSS
2458844.57551660,-0.002,0.004,gSDSS
2458846.56252769,-0.003,0.004,gSDSS
2458846.57133599,0.000,0.004,gSDSS
2458851.47879445,-0.009,0.004,gSDSS
2458851.48759112,0.002,0.004,gSDSS
2458851.49638778,-0.007,0.004,gSDSS
2458856.43055692,0.009,0.008,gSDSS
2458856.43939982,-0.001,0.007,gSDSS
2458856.44820799,0.005,0.007,gSDSS
2458857.45056768,0.001,0.005,gSDSS
2458857.45937583,0.001,0.005,gSDSS
2458857.46817241,0.004,0.005,gSDSS
2458880.41315884,0.013,0.004,gSDSS
2458880.42196665,-0.004,0.004,gSDSS
2458880.43078604,0.004,0.004,gSDSS
2458880.44174661,0.004,0.004,gSDSS
2458880.45055442,0.002,0.004,gSDSS
2458880.45937381,-0.001,0.004,gSDSS
2458884.59523406,-0.007,0.005,gSDSS
2458884.60404181,-0.002,0.005,gSDSS
2458884.61283798,-0.006,0.005,gSDSS
2458902.36402086,-0.001,0.003,gSDSS
2458902.37287465,-0.000,0.004,gSDSS
2458902.38175158,-0.003,0.003,gSDSS
2458905.33345887,0.002,0.004,gSDSS
2458905.34226633,-0.001,0.004,gSDSS
2458905.35108536,-0.001,0.005,gSDSS
2458922.37602847,0.001,0.004,gSDSS
2458922.38482415,-0.006,0.004,gSDSS
2458922.39364297,-0.009,0.004,gSDSS
2458828.56357554,0.004,0.008,J0515
2458828.57238405,0.000,0.010,J0515
2458828.58119257,-0.005,0.009,J0515
2458842.50209448,-0.011,0.007,J0515
2458842.51090284,-0.008,0.007,J0515
2458842.51969962,0.006,0.007,J0515
2458844.55875646,0.000,0.007,J0515
2458844.56755322,0.002,0.007,J0515
2458844.57634998,-0.016,0.008,J0515
2458846.55458748,0.013,0.008,J0515
2458846.56337264,-0.008,0.007,J0515
2458846.57216937,0.009,0.007,J0515
2458851.47963939,0.000,0.008,J0515
2458851.48842448,-0.005,0.007,J0515
2458851.49722115,0.016,0.007,J0515
2458856.43140186,0.000,0.013,J0515
2458856.44023318,0.024,0.015,J0515
2458856.44904135,0.013,0.013,J0515
2458857.45141261,0.008,0.010,J0515
2458857.46020919,-0.005,0.009,J0515
2458857.46900577,0.005,0.009,J0515
2458880.41400374,0.003,0.008,J0515
2458880.42281155,0.002,0.010,J0515
2458880.43161936,-0.012,0.008,J0515
2458880.44259151,-0.211,0.008,J0515
2458880.45139932,-0.017,0.008,J0515
2458880.46020713,-0.008,0.008,J0515
2458884.59606738,-0.001,0.010,J0515
2458884.60489828,-0.011,0.009,J0515
2458884.61368288,-0.009,0.009,J0515
2458902.36485416,-0.004,0.007,J0515
2458902.37370794,0.007,0.007,J0515
2458902.38258488,-0.010,0.007,J0515
2458905.33429217,0.016,0.009,J0515
2458905.34311120,-0.010,0.009,J0515
2458905.35191865,0.000,0.011,J0515
2458922.37686174,-0.003,0.007,J0515
2458922.38569214,0.001,0.009,J0515
2458922.39448782,-0.005,0.009,J0515
2458828.56445523,-0.008,0.002,rSDSS
2458828.57325217,0.003,0.003,rSDSS
2458828.58206069,-0.004,0.003,rSDSS
2458842.50296258,-0.001,0.003,rSDSS
2458842.51178252,0.001,0.003,rSDSS
2458842.52059088,0.001,0.003,rSDSS
2458844.55963614,-0.003,0.003,rSDSS
2458844.56843290,-0.003,0.003,rSDSS
2458844.57722966,-0.006,0.003,rSDSS
2458851.48050748,0.001,0.003,rSDSS
2458856.43228152,-0.005,0.005,rSDSS
2458856.44111284,-0.000,0.005,rSDSS
2458856.44992101,-0.008,0.004,rSDSS
2458857.45230384,-0.001,0.003,rSDSS
2458857.46108885,-0.004,0.003,rSDSS
2458880.41488336,0.001,0.003,rSDSS
2458880.42367960,0.000,0.003,rSDSS
2458880.43251056,0.000,0.003,rSDSS
2458880.44347114,0.001,0.003,rSDSS
2458880.45229052,0.000,0.003,rSDSS
2458880.46109833,-0.001,0.003,rSDSS
2458884.59694700,-0.004,0.003,rSDSS
2458884.60576632,0.007,0.003,rSDSS
2458884.61456250,0.002,0.003,rSDSS
2458902.36578004,0.003,0.003,rSDSS
2458902.37458754,-0.004,0.003,rSDSS
2458902.38346447,0.004,0.003,rSDSS
2458905.33517176,0.005,0.003,rSDSS
2458905.34399078,0.001,0.003,rSDSS
2458905.35279824,0.004,0.004,rSDSS
2458922.37774131,-0.001,0.003,rSDSS
2458922.38657171,0.000,0.004,rSDSS
2458922.39536739,-0.006,0.004,rSDSS
2458828.56583265,-0.002,0.004,J0660
2458828.57464116,-0.000,0.005,J0660
2458828.58344968,0.000,0.004,J0660
2458842.50436312,-0.008,0.004,J0660
2458842.51315991,-0.001,0.004,J0660
2458842.52196827,0.002,0.004,J0660
2458844.56103668,0.002,0.004,J0660
2458844.56981028,-0.004,0.004,J0660
2458844.57861862,-0.004,0.004,J0660
2458846.55684453,0.003,0.004,J0660
2458846.56564127,0.002,0.004,J0660
2458846.57444957,-0.002,0.004,J0660
2458851.48189643,-0.005,0.004,J0660
2458851.49068152,-0.001,0.004,J0660
2458851.49948976,0.001,0.004,J0660
2458856.43365888,0.001,0.006,J0660
2458856.44249020,0.004,0.007,J0660
2458856.45132152,0.011,0.006,J0660
2458857.45368120,0.001,0.005,J0660
2458857.46247779,-0.006,0.005,J0660
2458857.47126279,0.002,0.005,J0660
2458863.51221524,-0.003,0.004,J0660
2458863.52101174,0.009,0.005,J0660
2458863.52990082,-0.010,0.006,J0660
2458880.41626067,-0.006,0.005,J0660
2458880.42506848,0.001,0.005,J0660
2458880.43388787,-0.002,0.004,J0660
2458880.44484844,-0.004,0.004,J0660
2458880.45366783,0.003,0.004,J0660
2458880.46248721,0.004,0.004,J0660
2458884.59832429,0.002,0.005,J0660
2458884.60714362,0.000,0.005,J0660
2458884.61593979,-0.008,0.005,J0660
2458902.36715730,-0.004,0.004,J0660
2458902.38487645,-0.006,0.004,J0660
2458905.33656058,-0.003,0.005,J0660
2458905.34536803,0.000,0.005,J0660
2458905.35417549,0.005,0.006,J0660
2458922.37911853,0.000,0.004,J0660
2458922.38793736,-0.010,0.006,J0660
2458922.39675618,0.001,0.005,J0660
2458828.56724479,0.006,0.003,iSDSS
2458828.57605330,-0.004,0.003,iSDSS
2458828.58486182,-0.006,0.003,iSDSS
2458842.50578681,0.003,0.003,iSDSS
2458842.51457202,-0.001,0.003,iSDSS
2458842.52338038,-0.003,0.003,iSDSS
2458844.56243721,-0.004,0.003,iSDSS
2458844.57123397,-0.001,0.003,iSDSS
2458844.58001915,-0.002,0.003,iSDSS
2458851.48329695,0.000,0.003,iSDSS
2458851.49208204,0.004,0.003,iSDSS
2458851.50089028,0.002,0.003,iSDSS
2458856.43507097,0.004,0.004,iSDSS
2458856.44390229,0.011,0.005,iSDSS
2458856.45272203,0.006,0.005,iSDSS
2458857.46387829,0.003,0.003,iSDSS
2458857.47268645,-0.001,0.004,iSDSS
2458880.41768427,0.013,0.004,iSDSS
2458880.42650366,0.001,0.003,iSDSS
2458880.43529989,0.007,0.003,iSDSS
2458880.44626047,-0.002,0.003,iSDSS
2458880.45507985,0.001,0.003,iSDSS
2458880.46389924,0.001,0.003,iSDSS
2458884.59972474,-0.001,0.004,iSDSS
2458884.60855563,-0.000,0.004,iSDSS
2458884.61734023,-0.006,0.004,iSDSS
2458902.36855770,0.001,0.003,iSDSS
2458902.37745778,-0.001,0.003,iSDSS
2458902.38627685,-0.000,0.003,iSDSS
2458905.33797255,0.006,0.004,iSDSS
2458905.34676843,0.001,0.004,iSDSS
2458905.35557588,0.003,0.004,iSDSS
2458922.38053047,-0.000,0.003,iSDSS
2458922.38934929,-0.006,0.004,iSDSS
2458922.39815655,-0.002,0.004,iSDSS
2458828.56872638,-0.004,0.003,J0861
2458828.57753489,-0.001,0.003,J0861
2458828.58634341,-0.003,0.003,J0861
2458842.50726838,-0.002,0.003,J0861
2458842.51605359,-0.003,0.004,J0861
2458842.52486195,0.001,0.003,J0861
2458844.56391877,0.004,0.003,J0861
2458844.57272710,0.006,0.003,J0861
2458844.58151229,0.000,0.003,J0861
2458846.57735481,-0.000,0.003,J0861
2458851.49358674,0.001,0.003,J0861
2458856.43659880,-0.010,0.005,J0861
2458856.44539539,-0.002,0.006,J0861
2458856.45421514,0.004,0.005,J0861
2458857.45657482,0.002,0.004,J0861
2458857.46537140,-0.000,0.004,J0861
2458880.41917732,0.002,0.004,J0861
2458880.42798513,0.004,0.004,J0861
2458880.43679294,-0.002,0.004,J0861
2458880.44774194,0.004,0.004,J0861
2458880.45657290,0.002,0.004,J0861
2458880.46538071,0.002,0.003,J0861
2458884.60121777,-0.002,0.004,J0861
2458884.61004867,-0.004,0.005,J0861
2458884.61883327,-0.003,0.004,J0861
2458902.37005069,-0.002,0.003,J0861
2458902.37893920,0.005,0.003,J0861
2458902.38775827,0.002,0.003,J0861
2458905.33945396,0.002,0.005,J0861
2458905.34826142,0.001,0.004,J0861
2458905.35708044,0.007,0.004,J0861
2458922.38202342,-0.001,0.005,J0861
2458922.39084224,-0.010,0.005,J0861
2458922.39964950,-0.009,0.005,J0861
