#Parameters from JPLUS_DR1
#TILE_ID,26208
#NUMBER,14799
#ALPHA_J2000,212.7738
#DELTA_J2000,52.9866
#J0378,15.110,0.011
#J0395,15.048,0.010
#J0410,14.501,0.006
#J0430,14.447,0.006
#J0515,13.944,0.004
#J0660,13.656,0.003
#J0861,13.556,0.004
#gSDSS,14.094,0.003
#iSDSS,13.572,0.002
#rSDSS,13.688,0.002
#uJAVA,15.322,0.012
#zSDSS,13.559,0.003
#HJD,DMAG,DMAGERR,FILTER
2457943.39532808,0.013,0.017,J0395
2457943.39667061,0.003,0.020,J0395
2457943.39800157,-0.017,0.021,J0395
2458141.65089643,0.013,0.015,J0395
2458141.65966995,0.009,0.016,J0395
2458141.66843189,-0.001,0.015,J0395
2458205.55615767,0.001,0.021,J0395
2458205.56501177,-0.014,0.027,J0395
2458205.57385430,-0.006,0.014,J0395
2458240.46743204,0.012,0.016,J0395
2458240.47635535,-0.009,0.017,J0395
2458240.48532495,-0.043,0.016,J0395
2457902.60714637,0.013,0.021,gSDSS
2457902.60788708,-0.004,0.020,gSDSS
2457902.60860464,0.041,0.018,gSDSS
2457910.57540260,0.000,0.009,gSDSS
2457910.57612016,0.006,0.009,gSDSS
2457910.57683771,-0.004,0.008,gSDSS
2457919.51987233,-0.008,0.006,gSDSS
2457919.52056674,-0.008,0.006,gSDSS
2457919.52127272,0.001,0.006,gSDSS
2457921.61394703,0.000,0.006,gSDSS
2457921.61465301,-0.004,0.006,gSDSS
2457921.61535900,0.005,0.006,gSDSS
2457922.40604902,0.003,0.006,gSDSS
2457922.40675501,-0.000,0.006,gSDSS
2457922.40749571,0.002,0.006,gSDSS
2457927.42093963,-0.000,0.006,gSDSS
2457927.42164561,-0.001,0.011,gSDSS
2457927.42235160,0.103,0.037,gSDSS
2457929.38772908,-0.009,0.006,gSDSS
2457929.38846978,0.012,0.014,gSDSS
2457929.38916419,-0.119,0.108,gSDSS
2457943.39919364,0.002,0.007,gSDSS
2457943.39991120,-0.004,0.006,gSDSS
2457943.40061719,0.000,0.007,gSDSS
2458141.65198444,0.002,0.006,gSDSS
2458141.66075796,0.000,0.006,gSDSS
2458141.66950832,-0.003,0.006,gSDSS
2458205.55724562,-0.009,0.006,gSDSS
2458205.56611130,0.028,0.014,gSDSS
2458205.57494225,-0.005,0.006,gSDSS
2458240.46854311,-0.005,0.007,gSDSS
2458240.48643603,-0.005,0.006,gSDSS
2457902.60946108,0.025,0.025,J0515
2457902.61027123,-0.008,0.029,J0515
2457902.61106980,-0.016,0.040,J0515
2457910.57769415,0.000,0.020,J0515
2457910.57849273,0.011,0.018,J0515
2457910.57929130,-0.025,0.025,J0515
2457919.52214074,0.008,0.013,J0515
2457919.52293931,-0.015,0.014,J0515
2457919.52371473,-0.004,0.014,J0515
2457921.61622701,0.023,0.014,J0515
2457921.61701401,-0.005,0.015,J0515
2457921.61780101,-0.007,0.014,J0515
2457922.40836372,0.006,0.014,J0515
2457922.40915072,-0.001,0.013,J0515
2457922.40994929,0.005,0.013,J0515
2457927.42321961,0.018,0.014,J0515
2457927.42401818,-0.025,0.025,J0515
2457927.42480518,-0.019,0.023,J0515
2457929.39003220,0.035,0.044,J0515
2457929.39083077,-0.029,0.021,J0515
2457929.39162935,-0.081,0.082,J0515
2457943.40148520,0.010,0.013,J0515
2457943.40229535,-0.008,0.014,J0515
2457943.40307077,0.000,0.013,J0515
2458141.65274836,0.009,0.013,J0515
2458141.66152188,0.008,0.013,J0515
2458141.67028382,0.010,0.012,J0515
2458205.55802108,-0.008,0.014,J0515
2458205.56688676,0.003,0.013,J0515
2458205.57571771,0.001,0.012,J0515
2458240.46933012,0.010,0.013,J0515
2458240.47825343,-0.014,0.013,J0515
2458240.48722304,-0.012,0.013,J0515
2457902.61205355,-0.003,0.007,rSDSS
2457902.61285213,-0.001,0.011,rSDSS
2457902.61363913,0.007,0.011,rSDSS
2457910.58026347,-0.009,0.007,rSDSS
