#Parameters from JPLUS_DR1
#TILE_ID,26124
#NUMBER,11119
#ALPHA_J2000,106.0337
#DELTA_J2000,39.8180
#J0378,19.948,0.151
#J0395,19.670,0.116
#J0410,19.073,0.069
#J0430,18.866,0.057
#J0515,18.169,0.034
#J0660,17.490,0.020
#J0861,17.058,0.013
#gSDSS,18.399,0.017
#iSDSS,17.425,0.019
#rSDSS,17.696,0.011
#uJAVA,20.098,0.162
#zSDSS,17.140,0.011
#HJD,DMAG,DMAGERR,FILTER
2458209.35834013,0.244,0.260,J0395
2458212.38018288,0.318,0.192,J0395
2458758.65935425,0.617,0.318,J0395
2458758.67692536,-0.520,0.180,J0395
2458844.47272248,-0.005,0.143,J0395
2458844.48151890,-0.062,0.177,J0395
2458844.49032689,-0.041,0.151,J0395
2458846.46794297,-0.302,0.140,J0395
2458846.47675093,-0.131,0.125,J0395
2458846.48557046,0.056,0.119,J0395
2458851.41968586,0.024,0.211,J0395
2458851.42850532,-0.252,0.196,J0395
2458851.43732478,0.092,0.233,J0395
2458895.37206606,0.300,0.268,J0395
2458895.37862813,-0.409,0.168,J0395
2458895.38519020,0.012,0.156,J0395
2458895.39174070,-0.206,0.144,J0395
2458895.40110351,0.000,0.151,J0395
2458895.40770030,0.081,0.157,J0395
2458895.41429709,0.100,0.154,J0395
2458895.42084759,-0.004,0.152,J0395
2458209.35942799,-0.016,0.046,gSDSS
2458209.36824660,-0.029,0.050,gSDSS
2458209.37711150,-0.055,0.048,gSDSS
2458212.36363353,-0.011,0.026,gSDSS
2458212.38127074,0.026,0.027,gSDSS
2458758.66034971,0.005,0.029,gSDSS
2458758.66914684,0.021,0.029,gSDSS
2458758.67793240,0.063,0.032,gSDSS
2458828.47370813,0.614,0.237,gSDSS
2458828.48250477,1.110,0.164,gSDSS
2458828.49130142,0.509,0.184,gSDSS
2458828.53430079,-0.005,0.058,gSDSS
2458828.54309743,-0.236,0.077,gSDSS
2458828.55195195,-0.065,0.061,gSDSS
2458209.36020338,0.060,0.081,J0515
2458209.36902199,-0.110,0.085,J0515
2458209.37788689,-0.112,0.111,J0515
2458212.36440892,0.032,0.052,J0515
2458212.37321595,-0.000,0.066,J0515
2458212.38203456,0.109,0.054,J0515
2458758.66119470,0.036,0.069,J0515
2458758.66998026,0.140,0.074,J0515
2458758.67876581,-0.038,0.063,J0515
2458828.48333814,0.342,0.271,J0515
2458828.49213478,0.261,0.176,J0515
2458828.53513416,0.013,0.114,J0515
2458828.54394237,-0.050,0.141,J0515
2458828.55278531,0.061,0.119,J0515
2458844.47456279,-0.119,0.057,J0515
2458844.48335920,-0.078,0.049,J0515
2458844.49215562,0.031,0.057,J0515
2458846.46978327,0.000,0.050,J0515
2458846.47859123,-0.025,0.047,J0515
2458846.48741076,0.026,0.046,J0515
2458851.42152614,0.005,0.069,J0515
2458851.43036875,0.005,0.067,J0515
2458851.43916507,-0.161,0.096,J0515
2458895.30185074,-0.107,0.139,J0515
2458895.30841281,0.152,0.164,J0515
2458895.31496331,0.251,0.251,J0515
2458895.32153696,0.197,0.067,J0515
2458895.32808746,-0.373,0.163,J0515
2458895.36089781,-0.127,0.192,J0515
2458895.36744831,0.074,0.091,J0515
2458895.37402195,-0.104,0.063,J0515
2458895.38059560,-0.115,0.051,J0515
2458895.38714609,-0.009,0.050,J0515
2458895.39369659,-0.008,0.049,J0515
2458895.40307098,-0.078,0.047,J0515
2458895.40965619,-0.134,0.043,J0515
2458895.41624141,0.049,0.047,J0515
2458895.42280348,-0.012,0.050,J0515
2458209.36108293,0.009,0.021,rSDSS
2458209.36988996,0.024,0.022,rSDSS
2458209.37876644,-0.003,0.022,rSDSS
2458212.36526532,0.032,0.017,rSDSS
2458212.37408393,0.034,0.022,rSDSS
2458212.38292568,0.066,0.015,rSDSS
2458758.66207441,-0.053,0.019,rSDSS
2458758.67085997,0.012,0.020,rSDSS
2458758.67964552,0.167,0.021,rSDSS
2458828.47542116,0.776,0.106,rSDSS
2458828.48421780,0.411,0.074,rSDSS
2458828.49301445,0.572,0.101,rSDSS
2458828.53601382,0.018,0.039,rSDSS
2458828.54482204,0.003,0.038,rSDSS
2458828.55366498,-0.027,0.029,rSDSS
2458844.47544243,-0.057,0.016,rSDSS
2458844.48425042,-0.035,0.015,rSDSS
2458844.49303526,-0.036,0.015,rSDSS
2458846.47067448,-0.046,0.014,rSDSS
2458846.47947086,-0.080,0.014,rSDSS
2458846.48829040,-0.059,0.013,rSDSS
2458851.42241735,-0.023,0.017,rSDSS
2458851.43124838,-0.046,0.018,rSDSS
2458851.44004470,-0.086,0.024,rSDSS
2458209.36250640,-0.036,0.032,J0660
2458209.37132501,0.006,0.031,J0660
2458209.38018991,-0.002,0.031,J0660
2458212.36668879,0.010,0.025,J0660
2458212.37551897,0.038,0.059,J0660
2458212.38434916,0.070,0.025,J0660
2458758.66345186,-0.041,0.030,J0660
2458758.67223741,0.096,0.027,J0660
2458758.68103454,0.153,0.034,J0660
2458828.48559517,0.279,0.120,J0660
2458828.49439181,0.427,0.132,J0660
2458828.53740276,-0.023,0.072,J0660
2458828.54619941,0.000,0.062,J0660
2458828.55505392,-0.039,0.047,J0660
2458844.47681976,-0.047,0.024,J0660
2458844.48562775,0.002,0.024,J0660
2458844.49441259,0.015,0.024,J0660
2458846.47205181,-0.079,0.023,J0660
2458846.48085977,-0.025,0.034,J0660
2458846.48966773,-0.053,0.021,J0660
2458851.42379467,0.020,0.028,J0660
2458851.43262570,-0.007,0.033,J0660
2458851.44141044,-0.020,0.035,J0660
2458862.44695356,0.766,0.099,J0660
2458862.45574971,0.493,0.060,J0660
2458862.46454586,0.381,0.055,J0660
2458863.45452852,-0.009,0.036,J0660
2458863.46332466,-0.090,0.032,J0660
2458863.47214394,0.019,0.034,J0660
2458895.30404967,0.453,0.053,J0660
2458895.31062332,0.178,0.132,J0660
2458895.31718539,0.211,0.063,J0660
2458895.32373589,0.127,0.036,J0660
2458895.33030953,0.146,0.126,J0660
2458895.34344525,0.190,0.229,J0660
2458895.35000732,-0.111,0.168,J0660
2458895.35655782,0.128,0.274,J0660
2458895.36309674,-0.048,0.061,J0660
2458895.36968196,-0.052,0.039,J0660
2458895.38279453,-0.083,0.021,J0660
2458895.38935660,-0.049,0.021,J0660
2458895.39590709,-0.055,0.021,J0660
2458895.40526991,-0.104,0.020,J0660
2458895.41190142,-0.048,0.021,J0660
2458895.41845191,-0.088,0.021,J0660
2458209.36390673,-0.022,0.020,iSDSS
2458209.37272534,-0.063,0.020,iSDSS
2458209.38161339,-0.053,0.020,iSDSS
2458212.36810070,-0.003,0.020,iSDSS
2458212.37691930,-0.028,0.036,iSDSS
2458212.38574948,0.050,0.026,iSDSS
