#Parameters from JPLUS_DR1
#TILE_ID,26023
#NUMBER,1617
#ALPHA_J2000,132.6639
#DELTA_J2000,29.8557
#J0378,17.014,0.022
#J0395,16.878,0.020
#J0410,16.563,0.016
#J0430,16.444,0.014
#J0515,16.080,0.012
#J0660,15.908,0.011
#J0861,15.851,0.015
#gSDSS,16.212,0.007
#iSDSS,15.814,0.014
#rSDSS,15.921,0.007
#uJAVA,17.194,0.025
#zSDSS,15.846,0.016
#HJD,DMAG,DMAGERR,FILTER
2458828.56172424,-0.147,0.079,J0395
2458828.57053276,-0.112,0.085,J0395
2458828.57932970,-0.040,0.073,J0395
2458842.50024323,0.069,0.066,J0395
2458842.50906317,-0.164,0.046,J0395
2458842.51784838,-0.041,0.058,J0395
2458844.55691680,0.055,0.054,J0395
2458844.56572513,0.053,0.047,J0395
2458844.57452189,-0.182,0.052,J0395
2458846.55272467,-0.002,0.046,J0395
2458846.56153297,-0.019,0.050,J0395
2458846.57034128,0.050,0.044,J0395
2458851.47779974,0.052,0.049,J0395
2458851.48658483,-0.013,0.049,J0395
2458851.49538149,0.042,0.048,J0395
2458856.42955063,-0.129,0.251,J0395
2458856.43839352,0.387,0.211,J0395
2458856.44720169,-0.116,0.145,J0395
2458857.44956138,0.005,0.074,J0395
2458857.45838111,0.000,0.089,J0395
2458857.46716612,-0.012,0.080,J0395
2458880.41216402,0.058,0.076,J0395
2458880.42097183,0.035,0.118,J0395
2458880.42977965,-0.132,0.070,J0395
2458880.44074022,0.036,0.052,J0395
2458880.44954803,0.156,0.063,J0395
2458880.45836742,0.051,0.079,J0395
2458884.59422764,-0.117,0.071,J0395
2458884.60302382,0.156,0.091,J0395
2458884.61183156,-0.152,0.081,J0395
2458902.36300272,-0.032,0.049,J0395
2458902.37185651,-0.030,0.051,J0395
2458902.38073344,0.032,0.045,J0395
2458905.33244071,0.095,0.059,J0395
2458905.34124816,0.003,0.063,J0395
2458905.35005562,-0.009,0.063,J0395
2458922.37502169,0.004,0.057,J0395
2458922.38381738,0.097,0.054,J0395
2458922.39263620,-0.216,0.072,J0395
2458828.56273126,0.009,0.015,gSDSS
2458828.57153977,-0.008,0.018,gSDSS
2458828.58033672,0.014,0.015,gSDSS
2458842.50125023,-0.002,0.010,gSDSS
2458842.51007017,0.009,0.010,gSDSS
2458842.51885538,0.001,0.011,gSDSS
2458844.55791222,-0.010,0.010,gSDSS
2458844.56672055,-0.015,0.010,gSDSS
2458844.57551731,-0.003,0.010,gSDSS
2458846.56252839,-0.005,0.010,gSDSS
2458846.57133670,0.002,0.008,gSDSS
2458851.47879515,0.022,0.010,gSDSS
2458851.48759181,0.001,0.010,gSDSS
2458851.49638848,-0.019,0.010,gSDSS
2458856.43055761,-0.004,0.037,gSDSS
2458856.43940050,0.011,0.032,gSDSS
2458856.44820867,-0.032,0.033,gSDSS
2458857.45056836,0.017,0.017,gSDSS
2458857.45937651,0.004,0.016,gSDSS
2458857.46817310,0.005,0.016,gSDSS
2458880.41315939,-0.010,0.012,gSDSS
2458880.42196720,-0.004,0.016,gSDSS
2458880.43078658,0.006,0.013,gSDSS
2458880.44174716,0.007,0.011,gSDSS
2458880.45055497,0.011,0.013,gSDSS
2458880.45937435,0.033,0.012,gSDSS
2458884.59523457,-0.009,0.017,gSDSS
2458884.60404232,0.002,0.019,gSDSS
2458884.61283850,0.003,0.017,gSDSS
2458902.36402120,-0.011,0.009,gSDSS
2458902.37287498,-0.000,0.009,gSDSS
2458902.38175192,-0.001,0.009,gSDSS
2458905.33345918,-0.004,0.012,gSDSS
2458905.34226663,-0.020,0.012,gSDSS
2458905.35108566,0.005,0.014,gSDSS
2458922.37602857,0.000,0.010,gSDSS
2458922.38482425,-0.002,0.011,gSDSS
2458922.39364308,-0.006,0.012,gSDSS
2458828.56357623,0.011,0.030,J0515
2458828.57238474,0.041,0.036,J0515
2458828.58119326,-0.012,0.031,J0515
2458842.50209519,-0.003,0.022,J0515
2458842.51090355,-0.007,0.024,J0515
2458842.51970033,-0.009,0.020,J0515
2458844.55875717,0.012,0.023,J0515
2458844.56755393,0.015,0.022,J0515
