#Parameters from JPLUS_DR1
#TILE_ID,26208
#NUMBER,12621
#ALPHA_J2000,212.3497
#DELTA_J2000,53.1870
#J0378,20.189,0.893
#J0395,19.439,0.441
#J0410,18.911,0.209
#J0430,18.846,0.188
#J0515,17.546,0.056
#J0660,16.993,0.028
#J0861,16.538,0.046
#gSDSS,17.960,0.047
#iSDSS,16.745,0.025
#rSDSS,17.178,0.022
#uJAVA,19.576,0.520
#zSDSS,16.608,0.043
#HJD,DMAG,DMAGERR,FILTER
2458141.65969706,0.012,0.163,J0395
2458141.66845900,-0.012,0.225,J0395
2457910.57537060,0.672,0.228,gSDSS
2457910.57608815,0.089,0.200,gSDSS
2457910.57680571,0.072,0.138,gSDSS
2457919.51983937,0.000,0.098,gSDSS
2457919.52053378,0.005,0.086,gSDSS
2457919.52123977,0.072,0.102,gSDSS
2457921.61391396,0.078,0.113,gSDSS
2457921.61461994,-0.095,0.103,gSDSS
2457921.61532592,0.058,0.092,gSDSS
2457922.40601591,-0.007,0.073,gSDSS
2457922.40672190,-0.104,0.080,gSDSS
2457922.40746260,-0.066,0.083,gSDSS
2457927.42090645,0.020,0.095,gSDSS
2457927.42161243,-0.036,0.112,gSDSS
2457929.38769593,0.122,0.109,gSDSS
2457929.38843663,-0.138,0.146,gSDSS
2457943.39916178,0.052,0.132,gSDSS
2457943.39987934,0.225,0.114,gSDSS
2457943.40058532,0.025,0.118,gSDSS
2458141.65201156,-0.062,0.084,gSDSS
2458141.66078507,-0.139,0.080,gSDSS
2458141.66953544,-0.068,0.081,gSDSS
2458205.55724181,-0.008,0.110,gSDSS
2458205.56610748,0.208,0.189,gSDSS
2458205.57493843,-0.004,0.092,gSDSS
2458240.46852156,-0.054,0.098,gSDSS
2458240.48641447,-0.050,0.098,gSDSS
2457919.52210778,-0.181,0.104,J0515
2457919.52290635,0.119,0.116,J0515
2457919.52368178,-0.083,0.117,J0515
2457921.61619394,-0.195,0.125,J0515
2457921.61698093,-0.071,0.137,J0515
2457921.61776793,0.000,0.171,J0515
2457922.40833062,0.048,0.082,J0515
2457922.40911761,0.093,0.077,J0515
2457922.40991618,-0.119,0.073,J0515
2457927.42318643,0.099,0.212,J0515
2457927.42398500,0.998,0.594,J0515
2457927.42477200,0.202,0.177,J0515
2457929.39079763,-0.364,0.241,J0515
2457943.40145334,0.241,0.167,J0515
2457943.40226348,0.203,0.171,J0515
2457943.40303891,-0.113,0.166,J0515
2458141.65277548,-0.289,0.073,J0515
2458141.66154899,-0.281,0.090,J0515
2458141.67031093,0.172,0.112,J0515
2458205.55801727,-0.020,0.104,J0515
2458205.56688294,-0.254,0.118,J0515
2458205.57571389,0.060,0.107,J0515
2458240.46930857,0.107,0.119,J0515
2458240.47823188,-0.305,0.108,J0515
2458240.48720148,0.030,0.123,J0515
2457902.61202301,0.196,0.132,rSDSS
2457902.61282158,-0.105,0.079,rSDSS
2457902.61360858,-0.086,0.085,rSDSS
2457910.58023147,0.059,0.135,rSDSS
2457910.58103005,-0.081,0.227,rSDSS
2457919.52465395,0.008,0.045,rSDSS
2457919.52545252,0.047,0.043,rSDSS
2457919.52623952,0.002,0.046,rSDSS
2457921.61874011,0.075,0.054,rSDSS
2457921.61952710,-0.107,0.045,rSDSS
2457921.62031410,-0.001,0.050,rSDSS
2457922.41089993,-0.019,0.042,rSDSS
2457922.41168693,0.056,0.040,rSDSS
2457922.41247393,0.001,0.044,rSDSS
2457927.42575575,-0.031,0.046,rSDSS
2457927.42653117,-0.035,0.048,rSDSS
2457927.42732974,-0.038,0.045,rSDSS
2457929.39335537,0.163,0.253,rSDSS
2457929.39414237,0.466,0.279,rSDSS
2457943.40401109,0.078,0.057,rSDSS
2457943.40480966,0.050,0.050,rSDSS
2457943.40559666,0.093,0.052,rSDSS
2458141.65364357,0.031,0.042,rSDSS
2458141.66240551,-0.008,0.042,rSDSS
2458141.67116745,-0.022,0.040,rSDSS
2458205.55888532,-0.046,0.043,rSDSS
2458205.56775099,-0.014,0.045,rSDSS
2458205.57657037,-0.058,0.043,rSDSS
2458240.47911148,-0.002,0.046,rSDSS
2458240.48809265,0.116,0.050,rSDSS
2457902.61513629,0.116,0.102,J0660
2457902.61706907,-0.130,0.211,J0660
2457919.52775565,0.076,0.048,J0660
2457919.52965370,0.065,0.054,J0660
2457919.53156333,0.104,0.054,J0660
2457921.62183023,0.046,0.057,J0660
2457921.62371671,-0.085,0.059,J0660
2457921.62562634,0.165,0.053,J0660
2457922.41399006,0.088,0.049,J0660
2457922.41589968,-0.100,0.050,J0660
2457922.41778617,0.045,0.048,J0660
2457927.42884587,-0.050,0.053,J0660
2457927.43073235,-0.020,0.053,J0660
2457927.43263041,-0.042,0.047,J0660
2457929.39944303,0.011,0.117,J0660
2457943.40712437,-0.005,0.061,J0660
2457943.40902243,-0.041,0.064,J0660
2457943.41092049,0.111,0.066,J0660
2458141.65505567,-0.012,0.038,J0660
2458141.66381761,-0.049,0.039,J0660
2458141.67259112,-0.047,0.042,J0660
2458205.56032049,0.040,0.045,J0660
2458205.56918616,0.006,0.048,J0660
2458205.57799397,0.000,0.044,J0660
2458240.47164646,-0.037,0.048,J0660
2458240.48058134,0.046,0.047,J0660
2458240.48952779,-0.030,0.046,J0660
2457910.58940927,0.688,0.258,iSDSS
2457910.59013840,0.185,0.172,iSDSS
2457919.53305631,0.004,0.084,iSDSS
2457919.53377387,-0.016,0.080,iSDSS
2457919.53450300,0.076,0.089,iSDSS
2457921.62710775,-0.027,0.087,iSDSS
2457921.62784845,0.057,0.089,iSDSS
2457921.62857758,0.079,0.086,iSDSS
2457922.41927915,0.078,0.085,iSDSS
2457922.42000828,-0.020,0.078,iSDSS
2457922.42073741,0.060,0.084,iSDSS
2457927.43411181,-0.024,0.088,iSDSS
2457927.43485252,-0.096,0.085,iSDSS
2457927.43557007,-0.005,0.088,iSDSS
2457929.40092444,0.016,0.094,iSDSS
2457929.40238270,-0.077,0.082,iSDSS
2457943.41241347,0.096,0.086,iSDSS
2457943.41316575,-0.066,0.087,iSDSS
2457943.41389489,0.070,0.091,iSDSS
2458141.65645619,0.037,0.081,iSDSS
2458141.66520655,-0.050,0.086,iSDSS
2458141.67398007,0.022,0.087,iSDSS
2458205.56172094,-0.003,0.081,iSDSS
2458205.57058662,0.003,0.077,iSDSS
2458205.57940599,-0.036,0.081,iSDSS
2458240.47305844,-0.054,0.082,iSDSS
2458240.48198175,-0.057,0.083,iSDSS
2458240.49093978,-0.016,0.079,iSDSS
2457910.59165453,0.089,0.097,J0861
2457910.59604089,-0.141,0.183,J0861
2457919.53601913,-0.001,0.046,J0861
2457919.53820652,0.035,0.047,J0861
2457919.54037076,0.086,0.050,J0861
2457921.63008214,0.048,0.055,J0861
2457921.63225795,0.025,0.056,J0861
2457922.42224196,-0.130,0.046,J0861
2457922.42441778,0.014,0.049,J0861
2457922.42660517,-0.009,0.047,J0861
2457927.43707463,-0.037,0.047,J0861
2457927.43925045,-0.051,0.048,J0861
2457927.44143784,-0.008,0.049,J0861
2457929.40388726,0.398,0.225,J0861
2457929.40606308,0.034,0.061,J0861
2457929.40825047,-0.017,0.052,J0861
2457943.41541102,0.006,0.046,J0861
2457943.41759842,0.024,0.044,J0861
2457943.41978582,0.058,0.050,J0861
2458141.65787986,-0.034,0.047,J0861
2458141.66664180,0.001,0.045,J0861
2458141.67540374,0.036,0.046,J0861
2458205.56315612,-0.018,0.051,J0861
2458205.57202179,-0.024,0.040,J0861
2458205.58084117,-0.012,0.041,J0861
2458240.47449358,-0.012,0.040,J0861
2458240.48342846,-0.030,0.042,J0861
2458240.49237491,0.040,0.040,J0861
