#Parameters from JPLUS_DR1
#TILE_ID,26210
#NUMBER,12886
#ALPHA_J2000,215.9161
#DELTA_J2000,53.1656
#J0378,19.944,0.402
#J0395,19.169,0.200
#J0410,19.196,0.160
#J0430,18.993,0.125
#J0515,18.143,0.059
#J0660,16.897,0.017
#J0861,16.212,0.020
#gSDSS,18.333,0.040
#iSDSS,16.367,0.011
#rSDSS,17.085,0.013
#uJAVA,21.056,1.108
#zSDSS,16.413,0.020
#HJD,DMAG,DMAGERR,FILTER
2458257.48832999,-0.273,0.250,J0395
2458257.49726482,0.163,0.340,J0395
2458257.50623437,0.043,0.250,J0395
2458277.55344370,-0.043,0.226,J0395
2457906.50937824,0.021,0.033,gSDSS
2457906.51475994,-0.020,0.034,gSDSS
2457910.54700782,0.616,0.289,gSDSS
2457917.42680448,0.116,0.034,gSDSS
2457917.42751046,0.095,0.033,gSDSS
2457917.42822802,0.143,0.034,gSDSS
2457921.58873799,-0.083,0.052,gSDSS
2457921.58944397,-0.048,0.054,gSDSS
2457921.59014996,-0.041,0.055,gSDSS
2457923.42932212,-0.065,0.031,gSDSS
2457923.43005125,-0.051,0.031,gSDSS
2457923.43076881,-0.098,0.029,gSDSS
2457924.54417665,0.196,0.048,gSDSS
2457924.54488263,0.096,0.045,gSDSS
2457924.54558862,0.141,0.047,gSDSS
2458150.62909726,-0.003,0.092,gSDSS
2458150.63787073,0.251,0.121,gSDSS
2458150.64664420,-0.103,0.121,gSDSS
2458205.63774524,0.033,0.045,gSDSS
2458205.64661094,-0.062,0.056,gSDSS
2458205.65551136,-0.072,0.053,gSDSS
2458257.48945263,0.025,0.026,gSDSS
2458257.49838746,-0.007,0.026,gSDSS
2458257.50735701,0.000,0.027,gSDSS
2458277.54563157,-0.082,0.029,gSDSS
2458277.55455476,-0.029,0.028,gSDSS
2458277.56346639,-0.113,0.031,gSDSS
2458281.49920941,0.148,0.051,gSDSS
2458281.50813260,0.386,0.049,gSDSS
2458281.51706737,0.476,0.058,gSDSS
2458325.40848475,0.048,0.084,gSDSS
2458325.41744272,0.229,0.115,gSDSS
2458325.42638912,-0.082,0.098,gSDSS
2457906.51561638,-0.066,0.065,J0515
2457906.51641496,-0.025,0.083,J0515
2457906.51720196,0.286,0.088,J0515
2457917.42908446,0.197,0.075,J0515
2457917.42988303,0.002,0.071,J0515
2457917.43068161,0.094,0.075,J0515
2457921.59100640,-0.054,0.118,J0515
2457921.59180497,-0.324,0.108,J0515
2457921.59260355,0.073,0.120,J0515
2457923.43163682,-0.026,0.066,J0515
2457923.43243540,-0.009,0.064,J0515
2457923.43324554,0.082,0.071,J0515
2457924.54645663,-0.003,0.108,J0515
2457924.54725520,0.137,0.117,J0515
2457924.54804220,-0.070,0.109,J0515
2458150.62986118,-0.006,0.192,J0515
2458150.63863465,0.073,0.214,J0515
2458150.64740812,-0.174,0.209,J0515
2458205.63853228,-0.053,0.085,J0515
2458205.64740955,0.074,0.120,J0515
2458205.65628682,0.009,0.109,J0515
2458257.49023964,0.099,0.063,J0515
2458257.49918604,0.075,0.071,J0515
2458257.50814402,0.080,0.061,J0515
2458277.54640699,0.010,0.075,J0515
2458277.55534177,0.036,0.064,J0515
2458277.56426496,-0.092,0.063,J0515
2458281.49999641,0.610,0.186,J0515
2458281.50891960,0.721,0.102,J0515
2458281.51785437,0.496,0.113,J0515
2458325.40929490,0.015,0.182,J0515
2458325.41822973,0.073,0.188,J0515
2458325.42718770,-0.153,0.170,J0515
2458893.67245201,-0.021,0.105,J0515
2458893.67901470,0.090,0.100,J0515
2458893.68565841,-0.004,0.100,J0515
2458893.69222110,-0.002,0.092,J0515
2458893.69878379,-0.193,0.087,J0515
2458893.70538121,-0.134,0.099,J0515
2458893.71196705,-0.273,0.085,J0515
2458893.71854131,0.101,0.091,J0515
2458893.72511557,-0.093,0.085,J0515
2458893.73167827,-0.034,0.096,J0515
2458893.73824096,-0.242,0.089,J0515
2457906.51817414,0.019,0.013,rSDSS
2457906.51896114,-0.000,0.015,rSDSS
2457906.51974814,-0.018,0.016,rSDSS
2457910.55044516,0.517,0.128,rSDSS
2457910.55125531,0.530,0.115,rSDSS
2457910.55205388,0.600,0.087,rSDSS
2457917.43165379,0.101,0.017,rSDSS
2457917.43244078,0.051,0.017,rSDSS
2457917.43322778,0.057,0.014,rSDSS
2457921.59357572,-0.034,0.020,rSDSS
2457921.59436272,-0.092,0.020,rSDSS
2457921.59514972,-0.074,0.018,rSDSS
2457923.43421772,-0.019,0.014,rSDSS
2457923.43500472,-0.049,0.014,rSDSS
2457923.43580329,-0.054,0.014,rSDSS
2457924.54900281,0.095,0.022,rSDSS
2457924.54978981,0.124,0.023,rSDSS
2457924.55057681,0.091,0.024,rSDSS
2458150.63072927,-0.075,0.035,rSDSS
2458150.63950274,-0.029,0.033,rSDSS
