#Parameters from JPLUS_DR1
#TILE_ID,26015
#NUMBER,27525
#ALPHA_J2000,256.8388
#DELTA_J2000,23.8062
#J0378,18.515,0.046
#J0395,18.283,0.067
#J0410,17.777,0.050
#J0430,17.877,0.052
#J0515,17.805,0.046
#J0660,18.044,0.027
#J0861,18.191,0.071
#gSDSS,17.960,0.037
#iSDSS,17.940,0.033
#rSDSS,17.904,0.028
#uJAVA,19.411,0.068
#zSDSS,18.163,0.057
#HJD,DMAG,DMAGERR,FILTER
2458230.60209369,-0.391,0.136,J0395
2458230.61102928,0.081,0.206,J0395
2458230.62001117,-0.178,0.148,J0395
2458366.36899699,0.129,0.116,J0395
2458366.37793157,0.044,0.123,J0395
2458366.38688930,0.120,0.156,J0395
2458377.36001376,0.105,0.144,J0395
2458377.36892520,-0.200,0.246,J0395
2458554.68381166,-0.117,0.120,J0395
2458554.69273588,-0.081,0.119,J0395
2458554.70167167,-0.140,0.103,J0395
2458614.56680141,0.143,0.130,J0395
2458614.57579471,0.493,0.131,J0395
2458614.58471856,0.434,0.129,J0395
2458626.56284364,-0.044,0.166,J0395
2458626.57176737,0.227,0.151,J0395
2458626.58072583,0.029,0.162,J0395
2458638.54770572,-0.060,0.168,J0395
2458638.55667563,0.103,0.165,J0395
2458638.56559924,-0.317,0.153,J0395
2458644.54377306,0.476,0.150,J0395
2458644.55271976,0.303,0.161,J0395
2458644.56166646,0.115,0.139,J0395
2458657.48418080,0.000,0.153,J0395
2458657.49298848,-0.099,0.126,J0395
2458657.50180774,-0.073,0.142,J0395
2458659.43788724,-0.269,0.139,J0395
2458659.44670648,-0.053,0.134,J0395
2458659.45553729,-0.056,0.121,J0395
2458666.56520570,-0.033,0.120,J0395
2458666.57401330,0.025,0.135,J0395
2458666.58283247,-0.057,0.141,J0395
2458667.40373277,-0.137,0.127,J0395
2458667.41254036,0.107,0.124,J0395
2458667.42135953,0.083,0.123,J0395
2458230.60320485,-0.021,0.032,gSDSS
2458230.61214044,0.036,0.033,gSDSS
2458230.62112233,0.027,0.033,gSDSS
2458366.37011960,0.138,0.024,gSDSS
2458366.37904261,0.197,0.029,gSDSS
2458366.38800033,0.265,0.039,gSDSS
2458377.36111322,0.212,0.035,gSDSS
2458377.37003624,0.271,0.079,gSDSS
2458554.68493442,-0.072,0.020,gSDSS
2458554.69384706,-0.116,0.018,gSDSS
2458554.70278286,-0.056,0.019,gSDSS
2458614.56792412,0.388,0.022,gSDSS
2458614.57689427,0.389,0.024,gSDSS
2458614.58582970,0.399,0.025,gSDSS
2458626.56395477,0.086,0.038,gSDSS
2458626.57287850,0.083,0.034,gSDSS
2458626.58182538,0.094,0.035,gSDSS
2458638.54882841,-0.015,0.028,gSDSS
2458638.55778674,-0.116,0.025,gSDSS
2458638.56671035,-0.042,0.025,gSDSS
2458644.54488417,0.392,0.030,gSDSS
2458644.55383087,0.261,0.026,gSDSS
2458644.56276599,0.221,0.024,gSDSS
2458657.48518772,-0.038,0.028,gSDSS
2458657.49399540,-0.112,0.028,gSDSS
2458657.50281466,-0.084,0.027,gSDSS
2458659.43889416,-0.085,0.024,gSDSS
2458659.44771340,-0.044,0.021,gSDSS
2458659.45653264,-0.007,0.020,gSDSS
2458666.56621261,-0.069,0.023,gSDSS
2458666.57502021,-0.112,0.022,gSDSS
2458666.58382781,-0.027,0.024,gSDSS
2458667.40473968,-0.017,0.020,gSDSS
2458667.41354728,0.000,0.020,gSDSS
2458667.42236644,0.044,0.021,gSDSS
2458230.60399193,-0.262,0.092,J0515
2458230.61297382,-0.055,0.106,J0515
2458230.62192098,-0.142,0.078,J0515
2458366.37090659,0.087,0.060,J0515
2458366.37982959,0.275,0.070,J0515
2458366.38878732,0.095,0.091,J0515
2458377.36190021,0.122,0.074,J0515
2458377.37083480,0.089,0.161,J0515
2458554.68572151,-0.094,0.046,J0515
2458554.69464573,-0.132,0.045,J0515
2458554.70356995,-0.023,0.052,J0515
2458614.56871118,0.249,0.055,J0515
2458614.57769291,0.341,0.059,J0515
2458614.58661676,0.372,0.076,J0515
2458626.56474182,0.006,0.082,J0515
2458626.57365397,0.002,0.084,J0515
2458626.58262400,0.189,0.080,J0515
2458638.54961544,-0.016,0.072,J0515
2458638.55857378,0.092,0.076,J0515
2458638.56749739,-0.015,0.059,J0515
2458644.54567120,0.281,0.062,J0515
2458644.55462947,0.238,0.064,J0515
2458644.56355302,0.265,0.058,J0515
2458657.48603261,-0.043,0.064,J0515
2458657.49482872,0.111,0.068,J0515
2458657.50365955,-0.189,0.072,J0515
2458659.43973905,-0.448,0.074,J0515
2458659.44854672,-0.188,0.054,J0515
2458659.45736596,-0.076,0.061,J0515
2458666.56706907,-0.018,0.058,J0515
2458666.57585352,-0.033,0.059,J0515
2458666.58467269,0.014,0.063,J0515
2458667.40557299,-0.083,0.048,J0515
2458667.41439216,-0.009,0.052,J0515
2458667.42319975,0.000,0.052,J0515
2458230.60490632,-0.101,0.031,rSDSS
2458230.61387663,0.119,0.046,rSDSS
2458230.62281222,0.140,0.038,rSDSS
2458366.37179773,0.039,0.022,rSDSS
2458366.38072073,0.156,0.028,rSDSS
2458366.38966689,0.143,0.028,rSDSS
2458377.36280293,0.159,0.051,rSDSS
2458377.37172594,0.265,0.074,rSDSS
2458377.38064896,0.233,0.043,rSDSS
2458554.68661277,-0.103,0.019,rSDSS
2458554.69553699,-0.079,0.018,rSDSS
2458554.70446121,-0.061,0.018,rSDSS
2458614.56960241,0.224,0.020,rSDSS
2458614.57857256,0.263,0.021,rSDSS
2458614.58751956,0.262,0.025,rSDSS
2458626.56563303,-0.001,0.027,rSDSS
2458626.57454519,-0.000,0.027,rSDSS
2458626.58350365,0.054,0.029,rSDSS
2458638.55052980,-0.048,0.028,rSDSS
2458638.55946498,-0.079,0.023,rSDSS
2458638.56838859,-0.055,0.021,rSDSS
2458644.54657397,0.264,0.025,rSDSS
2458644.55552067,0.185,0.025,rSDSS
2458644.56444422,0.112,0.022,rSDSS
2458657.48690065,-0.066,0.025,rSDSS
2458657.49573148,-0.093,0.022,rSDSS
2458657.50453916,-0.107,0.030,rSDSS
2458659.44060709,-0.044,0.023,rSDSS
2458659.44944947,-0.058,0.020,rSDSS
2458659.45825714,-0.034,0.020,rSDSS
2458666.56794867,-0.103,0.020,rSDSS
2458666.57675627,-0.020,0.024,rSDSS
2458666.58555229,-0.030,0.024,rSDSS
2458667.40647574,0.007,0.020,rSDSS
2458667.41526018,0.000,0.019,rSDSS
2458667.42407935,0.050,0.019,rSDSS
2458230.60634157,-0.100,0.084,J0660
2458230.61532346,0.000,0.074,J0660
2458230.62425905,0.023,0.073,J0660
2458366.37323282,0.013,0.038,J0660
2458366.38219054,0.138,0.058,J0660
2458366.39111355,0.191,0.046,J0660
2458377.36423802,0.183,0.077,J0660
2458377.37317260,0.233,0.239,J0660
2458554.68805963,-0.076,0.033,J0660
2458554.69697228,-0.126,0.033,J0660
2458554.70590807,-0.077,0.033,J0660
