#Parameters from JPLUS_DR1
#TILE_ID,33220
#NUMBER,5951
#ALPHA_J2000,156.2655
#DELTA_J2000,39.8710
#J0378,16.421,0.016
#J0395,16.236,0.015
#J0410,15.970,0.010
#J0430,15.905,0.010
#J0515,15.636,0.008
#J0660,15.449,0.007
#J0861,15.396,0.009
#gSDSS,15.736,0.005
#iSDSS,15.400,0.004
#rSDSS,15.476,0.004
#uJAVA,17.018,0.023
#zSDSS,15.400,0.007
#HJD,DMAG,DMAGERR,FILTER
2458211.43998613,0.229,0.051,J0395
2458211.44880499,0.156,0.052,J0395
2458211.45770486,0.138,0.045,J0395
2458214.43648323,-0.921,0.043,J0395
2458214.44547566,-0.923,0.044,J0395
2458214.45447967,-0.806,0.043,J0395
2458538.51765055,-0.646,0.045,J0395
2458538.52659715,-0.622,0.057,J0395
2458538.53550903,-0.518,0.038,J0395
2458552.52103023,-0.001,0.046,J0395
2458552.52999979,0.019,0.046,J0395
2458552.53901565,0.045,0.046,J0395
2458553.59669447,-0.045,0.041,J0395
2458553.60562930,-0.021,0.047,J0395
2458553.61455256,0.054,0.034,J0395
2458566.56614165,-0.974,0.046,J0395
2458566.57506476,-0.944,0.040,J0395
2458566.58401102,-0.897,0.051,J0395
2458609.45452832,0.088,0.055,J0395
2458609.46345116,0.048,0.048,J0395
2458609.47237401,0.062,0.049,J0395
2458625.47836979,0.234,0.061,J0395
2458625.48730421,0.102,0.063,J0395
2458625.49622705,0.138,0.083,J0395
2458842.65054960,0.025,0.040,J0395
2458842.65934649,-0.031,0.042,J0395
2458842.66813181,0.054,0.044,J0395
2458844.64329904,-0.240,0.035,J0395
2458844.65210749,-0.475,0.040,J0395
2458844.66090437,-0.708,0.037,J0395
2458844.70119638,-1.075,0.044,J0395
2458844.71000483,-1.024,0.035,J0395
2458844.71887115,-0.977,0.050,J0395
2458895.54634482,0.056,0.039,J0395
2458895.55290729,0.128,0.053,J0395
2458895.55949290,-0.023,0.049,J0395
2458895.56603222,0.063,0.051,J0395
2458895.57264098,0.016,0.041,J0395
2458895.57922659,0.001,0.048,J0395
2458895.58584693,0.040,0.066,J0395
2458895.59244412,0.013,0.049,J0395
2458895.59901816,0.031,0.041,J0395
2458895.60556905,0.041,0.045,J0395
2458895.61211994,0.048,0.048,J0395
