#Parameters from JPLUS_DR1
#TILE_ID,26124
#NUMBER,32795
#ALPHA_J2000,106.0740
#DELTA_J2000,40.5064
#J0378,18.078,0.035
#J0395,17.811,0.028
#J0410,17.220,0.018
#J0430,17.086,0.016
#J0515,16.392,0.010
#J0660,15.822,0.007
#J0861,15.538,0.004
#gSDSS,16.594,0.005
#iSDSS,15.629,0.006
#rSDSS,15.900,0.003
#uJAVA,18.399,0.042
#zSDSS,15.758,0.004
#HJD,DMAG,DMAGERR,FILTER
2458209.35833451,0.349,0.160,J0395
2458209.36715312,0.370,0.113,J0395
2458209.37599488,0.464,0.169,J0395
2458212.37134815,0.031,0.129,J0395
2458212.38017833,-0.153,0.097,J0395
2458758.65936075,-0.301,0.067,J0395
2458758.66815788,-0.264,0.073,J0395
2458758.67693185,-0.183,0.075,J0395
2458828.47268455,0.150,0.148,J0395
2458828.48148119,0.491,0.207,J0395
2458828.49027783,0.481,0.261,J0395
2458828.53327719,-0.437,0.098,J0395
2458828.54207383,0.078,0.175,J0395
2458828.55993332,-0.222,0.112,J0395
2458844.47270296,-0.171,0.065,J0395
2458844.48149938,-0.343,0.065,J0395
2458844.49030737,-0.156,0.065,J0395
2458846.46792319,0.237,0.081,J0395
2458846.47673115,0.296,0.079,J0395
2458846.48555068,0.240,0.064,J0395
2458851.41966555,-0.008,0.097,J0395
2458851.42848501,0.101,0.100,J0395
2458851.43730447,-0.031,0.083,J0395
2458895.30643871,-0.001,0.144,J0395
2458895.31298921,0.286,0.248,J0395
2458895.31956285,0.491,0.158,J0395
2458895.32611335,0.373,0.175,J0395
2458895.34582271,0.039,0.247,J0395
2458895.35893529,-0.115,0.264,J0395
2458895.36547421,-0.116,0.116,J0395
2458895.37204786,0.115,0.096,J0395
2458895.37860993,-0.116,0.075,J0395
2458895.38517200,0.095,0.064,J0395
2458895.39172250,-0.246,0.060,J0395
2458895.40108531,-0.111,0.055,J0395
2458895.40768210,-0.196,0.056,J0395
2458895.41427890,-0.160,0.054,J0395
2458895.42082939,0.001,0.059,J0395
2458209.35942237,0.253,0.019,gSDSS
2458209.36824098,0.232,0.019,gSDSS
2458209.37710588,0.262,0.022,gSDSS
2458212.36362897,-0.047,0.011,gSDSS
2458212.38126619,0.150,0.012,gSDSS
2458758.66035621,-0.301,0.010,gSDSS
2458758.66915334,-0.305,0.010,gSDSS
2458758.67793889,-0.295,0.010,gSDSS
2458828.47369153,0.238,0.058,gSDSS
2458828.48248817,0.077,0.049,gSDSS
2458828.49128481,0.047,0.033,gSDSS
2458828.53428417,-0.229,0.018,gSDSS
2458828.54308081,-0.235,0.022,gSDSS
2458828.55193533,-0.271,0.018,gSDSS
2458209.36019776,0.394,0.037,J0515
2458209.36901637,0.316,0.034,J0515
2458209.37788127,0.312,0.041,J0515
2458212.36440436,0.040,0.022,J0515
2458212.37321140,0.173,0.024,J0515
2458212.38203001,0.264,0.025,J0515
2458758.66120120,-0.199,0.022,J0515
2458758.66998675,-0.183,0.022,J0515
2458758.67877230,-0.197,0.024,J0515
2458828.47452490,0.398,0.133,J0515
2458828.48332154,0.117,0.085,J0515
2458828.49211818,0.158,0.072,J0515
2458828.53511754,-0.184,0.037,J0515
2458828.54392575,-0.164,0.042,J0515
2458828.55276869,-0.205,0.035,J0515
2458844.47454327,-0.146,0.021,J0515
2458844.48333968,-0.089,0.021,J0515
2458844.49213609,-0.096,0.021,J0515
2458846.46976349,0.373,0.026,J0515
2458846.47857145,0.194,0.023,J0515
2458846.48739098,0.073,0.021,J0515
2458851.42150583,0.039,0.026,J0515
